"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/14/2025 00:05:00","CAPITL",61757,58.51,3.10,0.00
"02/14/2025 00:05:00","CENTRL",61754,53.58,-1.83,0.00
"02/14/2025 00:05:00","DUNWOD",61760,58.24,2.82,0.00
"02/14/2025 00:05:00","GENESE",61753,51.98,-3.44,0.00
"02/14/2025 00:05:00","H Q",61844,55.69,0.28,0.00
"02/14/2025 00:05:00","HUD VL",61758,58.02,2.60,0.00
"02/14/2025 00:05:00","LONGIL",61762,59.23,3.82,0.00
"02/14/2025 00:05:00","MHK VL",61756,56.35,0.94,0.00
"02/14/2025 00:05:00","MILLWD",61759,58.18,2.77,0.00
"02/14/2025 00:05:00","N.Y.C.",61761,58.35,2.93,0.00
"02/14/2025 00:05:00","NORTH",61755,55.91,0.50,0.00
"02/14/2025 00:05:00","NPX",61845,188.17,2.60,-130.15
"02/14/2025 00:05:00","O H",61846,49.71,-5.71,0.00
"02/14/2025 00:05:00","PJM",61847,54.30,-1.11,0.00
"02/14/2025 00:05:00","WEST",61752,50.98,-4.43,0.00
"02/14/2025 00:10:00","CAPITL",61757,58.63,3.11,0.00
"02/14/2025 00:10:00","CENTRL",61754,53.97,-1.55,0.00
"02/14/2025 00:10:00","DUNWOD",61760,58.30,2.77,0.00
"02/14/2025 00:10:00","GENESE",61753,52.24,-3.28,0.00
"02/14/2025 00:10:00","H Q",61844,55.74,0.22,0.00
"02/14/2025 00:10:00","HUD VL",61758,58.08,2.56,0.00
"02/14/2025 00:10:00","LONGIL",61762,59.30,3.78,0.00
"02/14/2025 00:10:00","MHK VL",61756,56.57,1.05,0.00
"02/14/2025 00:10:00","MILLWD",61759,58.24,2.72,0.00
"02/14/2025 00:10:00","N.Y.C.",61761,58.35,2.83,0.00
"02/14/2025 00:10:00","NORTH",61755,55.91,0.39,0.00
"02/14/2025 00:10:00","NPX",61845,188.17,2.50,-130.15
"02/14/2025 00:10:00","O H",61846,50.02,-5.50,0.00
"02/14/2025 00:10:00","PJM",61847,54.58,-0.94,0.00
"02/14/2025 00:10:00","WEST",61752,51.41,-4.11,0.00
"02/14/2025 00:15:00","CAPITL",61757,63.41,3.36,0.00
"02/14/2025 00:15:00","CENTRL",61754,58.37,-1.68,0.00
"02/14/2025 00:15:00","DUNWOD",61760,63.17,3.12,0.00
"02/14/2025 00:15:00","GENESE",61753,56.33,-3.72,0.00
"02/14/2025 00:15:00","H Q",61844,60.23,0.18,0.00
"02/14/2025 00:15:00","HUD VL",61758,62.93,2.88,0.00
"02/14/2025 00:15:00","LONGIL",61762,64.25,4.20,0.00
"02/14/2025 00:15:00","MHK VL",61756,61.19,1.14,0.00
"02/14/2025 00:15:00","MILLWD",61759,63.11,3.06,0.00
"02/14/2025 00:15:00","N.Y.C.",61761,63.50,3.24,-0.21
"02/14/2025 00:15:00","NORTH",61755,60.35,0.30,0.00
"02/14/2025 00:15:00","NPX",61845,193.03,2.82,-130.15
"02/14/2025 00:15:00","O H",61846,53.87,-6.18,0.00
"02/14/2025 00:15:00","PJM",61847,59.09,-0.96,0.00
"02/14/2025 00:15:00","WEST",61752,55.43,-4.62,0.00
"02/14/2025 00:20:00","CAPITL",61757,58.57,3.16,0.00
"02/14/2025 00:20:00","CENTRL",61754,53.80,-1.61,0.00
"02/14/2025 00:20:00","DUNWOD",61760,58.29,2.88,0.00
"02/14/2025 00:20:00","GENESE",61753,51.98,-3.44,0.00
"02/14/2025 00:20:00","H Q",61844,55.58,0.17,0.00
"02/14/2025 00:20:00","HUD VL",61758,58.07,2.66,0.00
"02/14/2025 00:20:00","LONGIL",61762,59.29,3.88,0.00
"02/14/2025 00:20:00","MHK VL",61756,56.41,1.00,0.00
"02/14/2025 00:20:00","MILLWD",61759,58.24,2.82,0.00
"02/14/2025 00:20:00","N.Y.C.",61761,59.37,3.05,-0.91
"02/14/2025 00:20:00","NORTH",61755,55.69,0.28,0.00
"02/14/2025 00:20:00","NPX",61845,160.44,2.60,-102.42
"02/14/2025 00:20:00","O H",61846,49.65,-5.76,0.00
"02/14/2025 00:20:00","PJM",61847,54.47,-0.94,0.00
"02/14/2025 00:20:00","WEST",61752,51.03,-4.38,0.00
"02/14/2025 00:25:00","CAPITL",61757,58.46,3.15,0.00
"02/14/2025 00:25:00","CENTRL",61754,53.76,-1.55,0.00
"02/14/2025 00:25:00","DUNWOD",61760,58.24,2.93,0.00
"02/14/2025 00:25:00","GENESE",61753,51.99,-3.32,0.00
