"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/11/2024 00:05:00","CAPITL",61757,27.61,1.04,0.00
"05/11/2024 00:05:00","CENTRL",61754,26.63,0.05,0.00
"05/11/2024 00:05:00","DUNWOD",61760,28.33,1.75,0.00
"05/11/2024 00:05:00","GENESE",61753,26.07,-0.51,0.00
"05/11/2024 00:05:00","H Q",61844,26.39,-0.18,0.00
"05/11/2024 00:05:00","HUD VL",61758,28.17,1.59,0.00
"05/11/2024 00:05:00","LONGIL",61762,28.62,2.05,0.00
"05/11/2024 00:05:00","MHK VL",61756,27.45,0.88,0.00
"05/11/2024 00:05:00","MILLWD",61759,28.22,1.65,0.00
"05/11/2024 00:05:00","N.Y.C.",61761,28.49,1.91,0.00
"05/11/2024 00:05:00","NORTH",61755,26.65,0.08,0.00
"05/11/2024 00:05:00","NPX",61845,27.66,1.09,0.00
"05/11/2024 00:05:00","O H",61846,25.70,-0.88,0.00
"05/11/2024 00:05:00","PJM",61847,27.21,0.64,0.00
"05/11/2024 00:05:00","WEST",61752,26.36,-0.21,0.00
"05/11/2024 00:10:00","CAPITL",61757,27.64,1.01,0.00
"05/11/2024 00:10:00","CENTRL",61754,26.65,0.03,0.00
"05/11/2024 00:10:00","DUNWOD",61760,28.38,1.76,0.00
"05/11/2024 00:10:00","GENESE",61753,26.12,-0.51,0.00
"05/11/2024 00:10:00","H Q",61844,26.47,-0.16,0.00
"05/11/2024 00:10:00","HUD VL",61758,28.22,1.60,0.00
"05/11/2024 00:10:00","LONGIL",61762,31.83,2.08,-3.13
"05/11/2024 00:10:00","MHK VL",61756,27.50,0.88,0.00
"05/11/2024 00:10:00","MILLWD",61759,28.28,1.65,0.00
"05/11/2024 00:10:00","N.Y.C.",61761,28.52,1.89,0.00
"05/11/2024 00:10:00","NORTH",61755,26.76,0.13,0.00
"05/11/2024 00:10:00","NPX",61845,27.69,1.07,0.00
"05/11/2024 00:10:00","O H",61846,25.75,-0.88,0.00
"05/11/2024 00:10:00","PJM",61847,27.21,0.59,0.00
"05/11/2024 00:10:00","WEST",61752,26.36,-0.27,0.00
"05/11/2024 00:15:00","CAPITL",61757,26.45,0.94,0.00
"05/11/2024 00:15:00","CENTRL",61754,25.54,0.03,0.00
"05/11/2024 00:15:00","DUNWOD",61760,27.12,1.61,0.00
"05/11/2024 00:15:00","GENESE",61753,24.97,-0.54,0.00
"05/11/2024 00:15:00","H Q",61844,25.41,-0.10,0.00
"05/11/2024 00:15:00","HUD VL",61758,26.99,1.48,0.00
"05/11/2024 00:15:00","LONGIL",61762,30.78,1.91,-3.35
"05/11/2024 00:15:00","MHK VL",61756,26.35,0.84,0.00
"05/11/2024 00:15:00","MILLWD",61759,27.04,1.53,0.00
"05/11/2024 00:15:00","N.Y.C.",61761,27.25,1.74,0.00
"05/11/2024 00:15:00","NORTH",61755,25.69,0.18,0.00
"05/11/2024 00:15:00","NPX",61845,26.50,0.99,0.00
"05/11/2024 00:15:00","O H",61846,24.62,-0.89,0.00
"05/11/2024 00:15:00","PJM",61847,26.05,0.54,0.00
"05/11/2024 00:15:00","WEST",61752,25.23,-0.28,0.00
"05/11/2024 00:20:00","CAPITL",61757,26.95,0.94,0.00
"05/11/2024 00:20:00","CENTRL",61754,26.07,0.05,0.00
"05/11/2024 00:20:00","DUNWOD",61760,27.63,1.61,0.00
"05/11/2024 00:20:00","GENESE",61753,25.44,-0.57,0.00
"05/11/2024 00:20:00","H Q",61844,25.91,-0.10,0.00
"05/11/2024 00:20:00","HUD VL",61758,27.50,1.48,0.00
"05/11/2024 00:20:00","LONGIL",61762,31.20,1.93,-3.26
"05/11/2024 00:20:00","MHK VL",61756,26.87,0.86,0.00
"05/11/2024 00:20:00","MILLWD",61759,27.55,1.53,0.00
"05/11/2024 00:20:00","N.Y.C.",61761,27.76,1.74,0.00
"05/11/2024 00:20:00","NORTH",61755,26.22,0.21,0.00
"05/11/2024 00:20:00","NPX",61845,27.00,0.99,0.00
"05/11/2024 00:20:00","O H",61846,25.05,-0.96,0.00
"05/11/2024 00:20:00","PJM",61847,26.59,0.57,0.00
"05/11/2024 00:20:00","WEST",61752,25.70,-0.31,0.00
"05/11/2024 00:25:00","CAPITL",61757,28.76,1.00,0.00
"05/11/2024 00:25:00","CENTRL",61754,27.84,0.08,0.00
"05/11/2024 00:25:00","DUNWOD",61760,29.48,1.72,0.00
"05/11/2024 00:25:00","GENESE",61753,27.15,-0.61,0.00
"05/11/2024 00:25:00","H Q",61844,27.65,-0.11,0.00
"05/11/2024 00:25:00","HUD VL",61758,29.34,1.58,0.00
