Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/29/2024 00:00,CAPITL,61757,40.15,1.65,-0.09
11/29/2024 00:00,CENTRL,61754,37.84,-0.58,-0.01
11/29/2024 00:00,DUNWOD,61760,40.75,2.27,-0.07
11/29/2024 00:00,GENESE,61753,36.15,-2.27,-0.01
11/29/2024 00:00,H Q,61844,38.41,0.00,0.00
11/29/2024 00:00,HUD VL,61758,40.36,1.88,-0.07
11/29/2024 00:00,LONGIL,61762,41.25,2.77,-0.07
11/29/2024 00:00,MHK VL,61756,39.23,0.81,-0.01
11/29/2024 00:00,MILLWD,61759,40.59,2.11,-0.07
11/29/2024 00:00,N.Y.C.,61761,40.90,2.42,-0.07
11/29/2024 00:00,NORTH,61755,37.14,-1.27,0.00
11/29/2024 00:00,NPX,61845,40.10,1.61,-0.08
11/29/2024 00:00,O H,61846,27.69,-3.38,7.34
11/29/2024 00:00,PJM,61847,35.08,-0.42,2.91
11/29/2024 00:00,WEST,61752,35.73,-2.69,-0.01
11/29/2024 01:00,CAPITL,61757,39.22,1.40,-5.97
11/29/2024 01:00,CENTRL,61754,31.98,-0.64,-0.77
11/29/2024 01:00,DUNWOD,61760,38.51,1.75,-4.90
11/29/2024 01:00,GENESE,61753,30.63,-1.78,-0.56
11/29/2024 01:00,H Q,61844,31.85,0.00,0.00
11/29/2024 01:00,HUD VL,61758,38.06,1.40,-4.81
11/29/2024 01:00,LONGIL,61762,38.86,2.10,-4.91
11/29/2024 01:00,MHK VL,61756,33.52,0.67,-0.99
11/29/2024 01:00,MILLWD,61759,38.43,1.66,-4.92
11/29/2024 01:00,N.Y.C.,61761,38.64,1.88,-4.91
11/29/2024 01:00,NORTH,61755,31.44,-0.41,0.00
11/29/2024 01:00,NPX,61845,38.60,1.34,-5.41
11/29/2024 01:00,O H,61846,25.79,-2.90,3.16
11/29/2024 01:00,PJM,61847,33.18,-0.73,-2.06
11/29/2024 01:00,WEST,61752,29.76,-2.80,-0.71
11/29/2024 02:00,CAPITL,61757,38.52,1.12,-10.66
