Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/01/2024 00:00,CAPITL,61757,54.06,1.52,-17.19
12/01/2024 00:00,CENTRL,61754,37.16,-0.42,-2.22
12/01/2024 00:00,DUNWOD,61760,51.41,1.98,-14.08
12/01/2024 00:00,GENESE,61753,35.52,-1.45,-1.62
12/01/2024 00:00,H Q,61844,35.36,0.00,0.00
12/01/2024 00:00,HUD VL,61758,50.89,1.70,-13.84
12/01/2024 00:00,LONGIL,61762,54.06,2.51,-16.19
12/01/2024 00:00,MHK VL,61756,39.56,0.88,-3.32
12/01/2024 00:00,MILLWD,61759,51.44,1.94,-14.14
12/01/2024 00:00,N.Y.C.,61761,51.49,2.05,-14.09
12/01/2024 00:00,NORTH,61755,33.41,-1.94,0.00
12/01/2024 00:00,NPX,61845,52.35,1.45,-15.54
12/01/2024 00:00,O H,61846,30.69,-2.83,1.84
12/01/2024 00:00,PJM,61847,37.23,-0.60,-2.47
12/01/2024 00:00,WEST,61752,34.69,-2.72,-2.06
12/01/2024 01:00,CAPITL,61757,53.02,1.44,-18.07
12/01/2024 01:00,CENTRL,61754,35.45,-0.40,-2.34
12/01/2024 01:00,DUNWOD,61760,50.09,1.77,-14.80
12/01/2024 01:00,GENESE,61753,33.74,-1.47,-1.70
12/01/2024 01:00,H Q,61844,33.51,0.00,0.00
12/01/2024 01:00,HUD VL,61758,49.61,1.54,-14.55
12/01/2024 01:00,LONGIL,61762,50.72,2.38,-14.83
12/01/2024 01:00,MHK VL,61756,37.84,0.84,-3.49
12/01/2024 01:00,MILLWD,61759,50.15,1.77,-14.87
12/01/2024 01:00,N.Y.C.,61761,50.13,1.81,-14.81
12/01/2024 01:00,NORTH,61755,31.64,-1.88,0.00
12/01/2024 01:00,NPX,61845,51.19,1.34,-16.34
12/01/2024 01:00,O H,61846,26.20,-2.78,4.53
12/01/2024 01:00,PJM,61847,34.06,-0.67,-1.22
12/01/2024 01:00,WEST,61752,32.96,-2.71,-2.16
12/01/2024 02:00,CAPITL,61757,51.26,1.54,-13.15
12/01/2024 02:00,CENTRL,61754,37.84,-0.44,-1.70
12/01/2024 02:00,DUNWOD,61760,49.17,1.83,-10.77
12/01/2024 02:00,GENESE,61753,36.20,-1.61,-1.24
12/01/2024 02:00,H Q,61844,36.57,0.00,0.00
12/01/2024 02:00,HUD VL,61758,48.74,1.57,-10.59
12/01/2024 02:00,LONGIL,61762,49.62,2.27,-10.78
12/01/2024 02:00,MHK VL,61756,39.99,0.88,-2.54
12/01/2024 02:00,MILLWD,61759,49.22,1.83,-10.82
12/01/2024 02:00,N.Y.C.,61761,49.18,1.83,-10.78
12/01/2024 02:00,NORTH,61755,34.93,-1.65,0.00
12/01/2024 02:00,NPX,61845,49.89,1.42,-11.89
12/01/2024 02:00,O H,61846,26.20,-3.00,7.38
12/01/2024 02:00,PJM,61847,35.38,-0.77,0.42
12/01/2024 02:00,WEST,61752,35.22,-2.93,-1.57
12/01/2024 03:00,CAPITL,61757,48.56,1.52,-9.87
12/01/2024 03:00,CENTRL,61754,38.00,-0.44,-1.28
12/01/2024 03:00,DUNWOD,61760,47.15,1.89,-8.09
12/01/2024 03:00,GENESE,61753,36.46,-1.63,-0.93
12/01/2024 03:00,H Q,61844,37.17,0.00,0.00
12/01/2024 03:00,HUD VL,61758,46.75,1.63,-7.95
12/01/2024 03:00,LONGIL,61762,47.82,2.56,-8.09
12/01/2024 03:00,MHK VL,61756,40.00,0.93,-1.91
12/01/2024 03:00,MILLWD,61759,47.18,1.89,-8.12
12/01/2024 03:00,N.Y.C.,61761,47.15,1.89,-8.09
12/01/2024 03:00,NORTH,61755,35.05,-2.12,0.00
12/01/2024 03:00,NPX,61845,47.58,1.49,-8.92
12/01/2024 03:00,O H,61846,26.20,-3.05,7.92
12/01/2024 03:00,PJM,61847,36.11,-0.74,0.31
12/01/2024 03:00,WEST,61752,35.41,-2.94,-1.18
12/01/2024 04:00,CAPITL,61757,50.48,1.53,-13.40
12/01/2024 04:00,CENTRL,61754,36.89,-0.39,-1.73
12/01/2024 04:00,DUNWOD,61760,48.37,1.85,-10.98
12/01/2024 04:00,GENESE,61753,35.38,-1.42,-1.26
12/01/2024 04:00,H Q,61844,35.54,0.00,0.00
12/01/2024 04:00,HUD VL,61758,47.94,1.60,-10.79
12/01/2024 04:00,LONGIL,61762,48.98,2.45,-10.99
12/01/2024 04:00,MHK VL,61756,38.95,0.82,-2.59
12/01/2024 04:00,MILLWD,61759,48.42,1.85,-11.03
