Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/12/2024 00:00,CAPITL,61757,22.16,0.81,0.00
03/12/2024 00:00,CENTRL,61754,21.47,0.13,0.00
03/12/2024 00:00,DUNWOD,61760,22.33,0.98,0.00
03/12/2024 00:00,GENESE,61753,20.43,-0.92,0.00
03/12/2024 00:00,H Q,61844,21.17,-0.17,0.00
03/12/2024 00:00,HUD VL,61758,22.20,0.85,0.00
03/12/2024 00:00,LONGIL,61762,22.81,1.45,-0.01
03/12/2024 00:00,MHK VL,61756,21.92,0.58,0.00
03/12/2024 00:00,MILLWD,61759,22.26,0.92,0.00
03/12/2024 00:00,N.Y.C.,61761,22.44,1.09,0.00
03/12/2024 00:00,NORTH,61755,16.58,-0.45,4.32
03/12/2024 00:00,NPX,61845,21.81,0.47,0.00
03/12/2024 00:00,O H,61846,19.81,-1.54,0.00
03/12/2024 00:00,PJM,61847,21.32,-0.02,0.00
03/12/2024 00:00,WEST,61752,20.26,-1.09,0.00
03/12/2024 01:00,CAPITL,61757,20.63,0.74,0.00
03/12/2024 01:00,CENTRL,61754,20.07,0.18,0.00
03/12/2024 01:00,DUNWOD,61760,20.71,0.82,0.00
03/12/2024 01:00,GENESE,61753,19.18,-0.72,0.00
03/12/2024 01:00,H Q,61844,19.75,-0.14,0.00
03/12/2024 01:00,HUD VL,61758,20.59,0.70,0.00
03/12/2024 01:00,LONGIL,61762,21.11,1.21,0.00
03/12/2024 01:00,MHK VL,61756,20.39,0.50,0.00
03/12/2024 01:00,MILLWD,61759,20.63,0.74,0.00
03/12/2024 01:00,N.Y.C.,61761,20.81,0.92,0.00
03/12/2024 01:00,NORTH,61755,15.39,-0.40,4.10
03/12/2024 01:00,NPX,61845,20.27,0.38,0.00
03/12/2024 01:00,O H,61846,18.66,-1.23,0.00
03/12/2024 01:00,PJM,61847,19.87,-0.02,0.00
03/12/2024 01:00,WEST,61752,19.04,-0.85,0.00
03/12/2024 02:00,CAPITL,61757,20.13,0.70,0.00
03/12/2024 02:00,CENTRL,61754,19.58,0.15,0.00
03/12/2024 02:00,DUNWOD,61760,20.26,0.83,0.00
03/12/2024 02:00,GENESE,61753,18.67,-0.76,0.00
03/12/2024 02:00,H Q,61844,19.29,-0.14,0.00
03/12/2024 02:00,HUD VL,61758,20.11,0.68,0.00
03/12/2024 02:00,LONGIL,61762,20.65,1.22,0.00
03/12/2024 02:00,MHK VL,61756,19.95,0.52,0.00
03/12/2024 02:00,MILLWD,61759,20.13,0.70,0.00
03/12/2024 02:00,N.Y.C.,61761,20.35,0.91,0.00
03/12/2024 02:00,NORTH,61755,16.12,-0.39,2.92
03/12/2024 02:00,NPX,61845,19.80,0.37,0.00
03/12/2024 02:00,O H,61846,18.15,-1.28,0.00
03/12/2024 02:00,PJM,61847,19.39,-0.04,0.00
03/12/2024 02:00,WEST,61752,18.50,-0.93,0.00
