Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/11/2024 00:00,CAPITL,61757,20.58,0.91,0.00
02/11/2024 00:00,CENTRL,61754,19.79,0.12,0.00
02/11/2024 00:00,DUNWOD,61760,20.91,1.24,0.00
02/11/2024 00:00,GENESE,61753,19.12,-0.55,0.00
02/11/2024 00:00,H Q,61844,19.34,-0.33,0.00
02/11/2024 00:00,HUD VL,61758,20.78,1.10,0.00
02/11/2024 00:00,LONGIL,61762,23.24,1.79,-1.78
02/11/2024 00:00,MHK VL,61756,20.22,0.55,0.00
02/11/2024 00:00,MILLWD,61759,20.87,1.20,0.00
02/11/2024 00:00,N.Y.C.,61761,21.11,1.44,0.00
02/11/2024 00:00,NORTH,61755,19.28,-0.39,0.00
02/11/2024 00:00,NPX,61845,20.62,0.94,0.00
02/11/2024 00:00,O H,61846,18.73,-0.94,0.00
02/11/2024 00:00,PJM,61847,19.85,0.18,0.00
02/11/2024 00:00,WEST,61752,19.14,-0.53,0.00
02/11/2024 01:00,CAPITL,61757,19.36,0.89,0.00
02/11/2024 01:00,CENTRL,61754,18.57,0.09,0.00
02/11/2024 01:00,DUNWOD,61760,19.64,1.16,0.00
02/11/2024 01:00,GENESE,61753,17.92,-0.55,0.00
02/11/2024 01:00,H Q,61844,18.16,-0.31,0.00
02/11/2024 01:00,HUD VL,61758,19.49,1.02,0.00
02/11/2024 01:00,LONGIL,61762,20.14,1.66,0.00
02/11/2024 01:00,MHK VL,61756,19.03,0.55,0.00
02/11/2024 01:00,MILLWD,61759,19.59,1.11,0.00
02/11/2024 01:00,N.Y.C.,61761,19.83,1.35,0.00
02/11/2024 01:00,NORTH,61755,18.09,-0.39,0.00
02/11/2024 01:00,NPX,61845,19.40,0.92,0.00
02/11/2024 01:00,O H,61846,17.57,-0.90,0.00
02/11/2024 01:00,PJM,61847,18.62,0.15,0.00
02/11/2024 01:00,WEST,61752,17.94,-0.54,0.00
02/11/2024 02:00,CAPITL,61757,17.49,0.80,0.00
02/11/2024 02:00,CENTRL,61754,16.84,0.15,0.00
02/11/2024 02:00,DUNWOD,61760,17.66,0.97,0.00
02/11/2024 02:00,GENESE,61753,16.36,-0.33,0.00
02/11/2024 02:00,H Q,61844,16.39,-0.30,0.00
02/11/2024 02:00,HUD VL,61758,17.54,0.85,0.00
02/11/2024 02:00,LONGIL,61762,18.04,1.35,0.00
02/11/2024 02:00,MHK VL,61756,17.19,0.50,0.00
02/11/2024 02:00,MILLWD,61759,17.63,0.93,0.00
02/11/2024 02:00,N.Y.C.,61761,17.80,1.10,0.00
02/11/2024 02:00,NORTH,61755,16.31,-0.38,0.00
