"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"12/16/2024","12/13/2024","Actual","ALB",28,19,23,17
"12/16/2024","12/13/2024","Actual","ART",28,13,23,12
"12/16/2024","12/13/2024","Actual","BGM",23,14,19,12
"12/16/2024","12/13/2024","Actual","BUF",24,15,20,13
"12/16/2024","12/13/2024","Actual","ELM",27,10,22,9
"12/16/2024","12/13/2024","Actual","ELZ",20,9,17,8
"12/16/2024","12/13/2024","Actual","FOK",32,26,26,22
"12/16/2024","12/13/2024","Actual","FRG",33,25,26,21
"12/16/2024","12/13/2024","Actual","GFL",29,17,23,16
"12/16/2024","12/13/2024","Actual","HPN",32,21,25,18
"12/16/2024","12/13/2024","Actual","IAG",28,16,22,14
"12/16/2024","12/13/2024","Actual","ISP",33,23,26,20
"12/16/2024","12/13/2024","Actual","ITH",24,7,20,6
"12/16/2024","12/13/2024","Actual","JFK",36,29,28,23
"12/16/2024","12/13/2024","Actual","LGA",34,29,26,22
"12/16/2024","12/13/2024","Actual","MSS",26,15,22,14
"12/16/2024","12/13/2024","Actual","MSV",25,11,21,11
"12/16/2024","12/13/2024","Actual","NYC",32,27,25,21
"12/16/2024","12/13/2024","Actual","PLB",26,17,21,16
"12/16/2024","12/13/2024","Actual","POU",33,16,26,15
"12/16/2024","12/13/2024","Actual","ROC",24,14,19,12
"12/16/2024","12/13/2024","Actual","SLK",18,8,16,7
"12/16/2024","12/13/2024","Actual","SWF",30,19,24,17
"12/16/2024","12/13/2024","Actual","SYR",30,21,24,18
"12/16/2024","12/13/2024","Actual","UCA",25,18,22,16
"12/16/2024","12/14/2024","Actual","ALB",32,16,26,14
"12/16/2024","12/14/2024","Actual","ART",28,3,24,2
"12/16/2024","12/14/2024","Actual","BGM",25,11,22,10
"12/16/2024","12/14/2024","Actual","BUF",31,10,25,9
"12/16/2024","12/14/2024","Actual","ELM",32,8,26,7
"12/16/2024","12/14/2024","Actual","ELZ",27,6,22,5
"12/16/2024","12/14/2024","Actual","FOK",33,22,28,19
"12/16/2024","12/14/2024","Actual","FRG",34,23,27,20
"12/16/2024","12/14/2024","Actual","GFL",28,10,24,10
"12/16/2024","12/14/2024","Actual","HPN",33,16,26,14
"12/16/2024","12/14/2024","Actual","IAG",35,13,27,11
"12/16/2024","12/14/2024","Actual","ISP",35,22,28,20
"12/16/2024","12/14/2024","Actual","ITH",33,8,27,7
"12/16/2024","12/14/2024","Actual","JFK",36,26,29,22
"12/16/2024","12/14/2024","Actual","LGA",34,27,27,22
"12/16/2024","12/14/2024","Actual","MSS",23,7,20,6
"12/16/2024","12/14/2024","Actual","MSV",29,7,24,7
"12/16/2024","12/14/2024","Actual","NYC",33,26,26,21
"12/16/2024","12/14/2024","Actual","PLB",25,11,22,10
"12/16/2024","12/14/2024","Actual","POU",33,12,26,11
"12/16/2024","12/14/2024","Actual","ROC",31,9,26,8
"12/16/2024","12/14/2024","Actual","SLK",22,-5,19,-6
"12/16/2024","12/14/2024","Actual","SWF",32,14,27,13
"12/16/2024","12/14/2024","Actual","SYR",33,19,27,17
"12/16/2024","12/14/2024","Actual","UCA",28,11,24,11
"12/16/2024","12/15/2024","Actual","ALB",34,14,30,13
"12/16/2024","12/15/2024","Actual","ART",37,10,33,9
"12/16/2024","12/15/2024","Actual","BGM",31,17,30,15
"12/16/2024","12/15/2024","Actual","BUF",37,20,35,18
"12/16/2024","12/15/2024","Actual","ELM",37,13,33,12
"12/16/2024","12/15/2024","Actual","ELZ",30,20,29,17
"12/16/2024","12/15/2024","Actual","FOK",40,22,35,20
"12/16/2024","12/15/2024","Actual","FRG",41,21,35,19
"12/16/2024","12/15/2024","Actual","GFL",27,9,24,9
"12/16/2024","12/15/2024","Actual","HPN",35,23,32,20
"12/16/2024","12/15/2024","Actual","IAG",39,22,36,19
"12/16/2024","12/15/2024","Actual","ISP",42,20,36,19
"12/16/2024","12/15/2024","Actual","ITH",32,20,31,18
"12/16/2024","12/15/2024","Actual","JFK",43,26,37,23
"12/16/2024","12/15/2024","Actual","LGA",43,29,36,24
"12/16/2024","12/15/2024","Actual","MSS",25,7,23,6
"12/16/2024","12/15/2024","Actual","MSV",31,11,29,11
"12/16/2024","12/15/2024","Actual","NYC",41,29,36,24
"12/16/2024","12/15/2024","Actual","PLB",30,8,26,7
"12/16/2024","12/15/2024","Actual","POU",35,13,29,12
"12/16/2024","12/15/2024","Actual","ROC",38,24,35,21
"12/16/2024","12/15/2024","Actual","SLK",25,-10,23,-11
"12/16/2024","12/15/2024","Actual","SWF",34,15,31,14
"12/16/2024","12/15/2024","Actual","SYR",38,21,34,19
"12/16/2024","12/15/2024","Actual","UCA",28,16,27,15
"12/16/2024","12/16/2024","Forecast","ALB",45,31,43,30
"12/16/2024","12/16/2024","Forecast","ART",44,37,43,33
"12/16/2024","12/16/2024","Forecast","BGM",42,30,41,30
"12/16/2024","12/16/2024","Forecast","BUF",49,37,47,35
"12/16/2024","12/16/2024","Forecast","ELM",45,35,42,34
"12/16/2024","12/16/2024","Forecast","ELZ",41,30,40,29
"12/16/2024","12/16/2024","Forecast","FOK",50,38,50,35
"12/16/2024","12/16/2024","Forecast","FRG",51,37,50,34
"12/16/2024","12/16/2024","Forecast","GFL",38,26,37,26
"12/16/2024","12/16/2024","Forecast","HPN",49,34,48,32
"12/16/2024","12/16/2024","Forecast","IAG",50,39,47,36
"12/16/2024","12/16/2024","Forecast","ISP",50,37,50,34
"12/16/2024","12/16/2024","Forecast","ITH",43,32,42,32
"12/16/2024","12/16/2024","Forecast","JFK",52,39,50,37
"12/16/2024","12/16/2024","Forecast","LGA",52,39,50,35
"12/16/2024","12/16/2024","Forecast","MSS",39,25,38,23
"12/16/2024","12/16/2024","Forecast","MSV",40,28,40,28
"12/16/2024","12/16/2024","Forecast","NYC",51,38,49,36
"12/16/2024","12/16/2024","Forecast","PLB",39,26,38,25
"12/16/2024","12/16/2024","Forecast","POU",45,31,44,30
"12/16/2024","12/16/2024","Forecast","ROC",47,38,44,35
"12/16/2024","12/16/2024","Forecast","SLK",39,23,38,22
"12/16/2024","12/16/2024","Forecast","SWF",44,32,43,31
"12/16/2024","12/16/2024","Forecast","SYR",48,34,44,33
"12/16/2024","12/16/2024","Forecast","UCA",43,27,42,27
"12/16/2024","12/17/2024","Forecast","ALB",50,38,45,35
"12/16/2024","12/17/2024","Forecast","ART",46,36,44,34
"12/16/2024","12/17/2024","Forecast","BGM",44,33,42,31
"12/16/2024","12/17/2024","Forecast","BUF",49,37,47,35
"12/16/2024","12/17/2024","Forecast","ELM",48,35,44,33
"12/16/2024","12/17/2024","Forecast","ELZ",43,30,42,29
"12/16/2024","12/17/2024","Forecast","FOK",55,42,52,40
"12/16/2024","12/17/2024","Forecast","FRG",57,44,52,41
"12/16/2024","12/17/2024","Forecast","GFL",47,36,44,34
"12/16/2024","12/17/2024","Forecast","HPN",55,43,51,39
"12/16/2024","12/17/2024","Forecast","IAG",50,37,48,34
"12/16/2024","12/17/2024","Forecast","ISP",57,43,53,41
"12/16/2024","12/17/2024","Forecast","ITH",44,35,43,33
"12/16/2024","12/17/2024","Forecast","JFK",58,46,53,42
"12/16/2024","12/17/2024","Forecast","LGA",57,46,52,41
"12/16/2024","12/17/2024","Forecast","MSS",44,34,43,32
"12/16/2024","12/17/2024","Forecast","MSV",47,32,44,31
"12/16/2024","12/17/2024","Forecast","NYC",57,45,52,40
"12/16/2024","12/17/2024","Forecast","PLB",45,36,43,33
"12/16/2024","12/17/2024","Forecast","POU",55,37,49,35
"12/16/2024","12/17/2024","Forecast","ROC",49,37,46,35
"12/16/2024","12/17/2024","Forecast","SLK",41,30,41,29
"12/16/2024","12/17/2024","Forecast","SWF",54,38,48,36
"12/16/2024","12/17/2024","Forecast","SYR",50,39,46,36
"12/16/2024","12/17/2024","Forecast","UCA",45,35,44,34
