"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"04/12/2024","04/09/2024","Actual","ALB",75,38,54,35
"04/12/2024","04/09/2024","Actual","ART",72,32,54,31
"04/12/2024","04/09/2024","Actual","BGM",73,44,52,39
"04/12/2024","04/09/2024","Actual","BUF",77,46,60,41
"04/12/2024","04/09/2024","Actual","ELM",79,31,55,31
"04/12/2024","04/09/2024","Actual","ELZ",72,38,55,35
"04/12/2024","04/09/2024","Actual","FOK",72,44,54,42
"04/12/2024","04/09/2024","Actual","FRG",70,47,55,44
"04/12/2024","04/09/2024","Actual","GFL",70,30,51,30
"04/12/2024","04/09/2024","Actual","HPN",73,46,56,41
"04/12/2024","04/09/2024","Actual","IAG",79,38,61,36
"04/12/2024","04/09/2024","Actual","ISP",71,47,52,44
"04/12/2024","04/09/2024","Actual","ITH",76,38,54,36
"04/12/2024","04/09/2024","Actual","JFK",69,46,55,44
"04/12/2024","04/09/2024","Actual","LGA",75,50,56,45
"04/12/2024","04/09/2024","Actual","MSS",68,31,51,30
"04/12/2024","04/09/2024","Actual","MSV",75,35,55,34
"04/12/2024","04/09/2024","Actual","NYC",78,56,56,46
"04/12/2024","04/09/2024","Actual","PLB",66,36,49,33
"04/12/2024","04/09/2024","Actual","POU",76,43,56,40
"04/12/2024","04/09/2024","Actual","ROC",79,42,55,39
"04/12/2024","04/09/2024","Actual","SLK",68,26,51,25
"04/12/2024","04/09/2024","Actual","SWF",73,45,56,40
"04/12/2024","04/09/2024","Actual","SYR",77,40,57,37
"04/12/2024","04/09/2024","Actual","UCA",75,35,55,34
"04/12/2024","04/10/2024","Actual","ALB",62,53,53,48
"04/12/2024","04/10/2024","Actual","ART",61,51,56,46
"04/12/2024","04/10/2024","Actual","BGM",64,54,56,48
"04/12/2024","04/10/2024","Actual","BUF",62,52,55,47
"04/12/2024","04/10/2024","Actual","ELM",68,51,60,48
"04/12/2024","04/10/2024","Actual","ELZ",61,52,55,51
"04/12/2024","04/10/2024","Actual","FOK",59,45,53,44
"04/12/2024","04/10/2024","Actual","FRG",60,49,55,46
"04/12/2024","04/10/2024","Actual","GFL",59,41,52,39
"04/12/2024","04/10/2024","Actual","HPN",64,47,56,44
"04/12/2024","04/10/2024","Actual","IAG",65,53,54,46
"04/12/2024","04/10/2024","Actual","ISP",59,47,54,45
"04/12/2024","04/10/2024","Actual","ITH",64,56,58,48
"04/12/2024","04/10/2024","Actual","JFK",60,50,55,46
"04/12/2024","04/10/2024","Actual","LGA",58,49,50,45
"04/12/2024","04/10/2024","Actual","MSS",67,43,59,39
"04/12/2024","04/10/2024","Actual","MSV",56,47,53,46
"04/12/2024","04/10/2024","Actual","NYC",66,52,56,47
"04/12/2024","04/10/2024","Actual","PLB",61,45,54,39
"04/12/2024","04/10/2024","Actual","POU",60,51,54,46
"04/12/2024","04/10/2024","Actual","ROC",66,55,59,48
"04/12/2024","04/10/2024","Actual","SLK",59,35,54,32
"04/12/2024","04/10/2024","Actual","SWF",63,52,54,46
"04/12/2024","04/10/2024","Actual","SYR",69,55,59,51
"04/12/2024","04/10/2024","Actual","UCA",64,52,58,48
"04/12/2024","04/11/2024","Actual","ALB",61,50,58,47
"04/12/2024","04/11/2024","Actual","ART",66,42,59,41
"04/12/2024","04/11/2024","Actual","BGM",61,51,58,50
"04/12/2024","04/11/2024","Actual","BUF",68,50,61,47
"04/12/2024","04/11/2024","Actual","ELM",70,57,61,55
"04/12/2024","04/11/2024","Actual","ELZ",61,52,57,52
"04/12/2024","04/11/2024","Actual","FOK",57,48,56,47
"04/12/2024","04/11/2024","Actual","FRG",59,49,58,48
"04/12/2024","04/11/2024","Actual","GFL",59,43,56,43
"04/12/2024","04/11/2024","Actual","HPN",60,48,59,46
"04/12/2024","04/11/2024","Actual","IAG",70,50,63,47
"04/12/2024","04/11/2024","Actual","ISP",59,49,58,48
"04/12/2024","04/11/2024","Actual","ITH",65,53,59,53
"04/12/2024","04/11/2024","Actual","JFK",59,50,56,48
"04/12/2024","04/11/2024","Actual","LGA",61,48,59,46
"04/12/2024","04/11/2024","Actual","MSS",60,40,57,40
"04/12/2024","04/11/2024","Actual","MSV",57,48,57,48
"04/12/2024","04/11/2024","Actual","NYC",61,51,59,48
"04/12/2024","04/11/2024","Actual","PLB",55,44,53,43
"04/12/2024","04/11/2024","Actual","POU",63,52,60,50
"04/12/2024","04/11/2024","Actual","ROC",69,50,62,47
"04/12/2024","04/11/2024","Actual","SLK",55,41,54,41
"04/12/2024","04/11/2024","Actual","SWF",61,52,60,50
"04/12/2024","04/11/2024","Actual","SYR",69,54,61,53
"04/12/2024","04/11/2024","Actual","UCA",63,50,58,49
"04/12/2024","04/12/2024","Forecast","ALB",64,53,60,48
"04/12/2024","04/12/2024","Forecast","ART",66,45,60,43
"04/12/2024","04/12/2024","Forecast","BGM",61,46,59,43
"04/12/2024","04/12/2024","Forecast","BUF",62,42,59,40
"04/12/2024","04/12/2024","Forecast","ELM",65,45,62,42
"04/12/2024","04/12/2024","Forecast","ELZ",59,38,58,37
"04/12/2024","04/12/2024","Forecast","FOK",57,50,56,46
"04/12/2024","04/12/2024","Forecast","FRG",61,53,56,49
"04/12/2024","04/12/2024","Forecast","GFL",64,49,60,46
"04/12/2024","04/12/2024","Forecast","HPN",61,52,60,48
"04/12/2024","04/12/2024","Forecast","IAG",63,43,60,40
"04/12/2024","04/12/2024","Forecast","ISP",59,51,57,47
"04/12/2024","04/12/2024","Forecast","ITH",62,44,60,42
"04/12/2024","04/12/2024","Forecast","JFK",60,54,56,49
"04/12/2024","04/12/2024","Forecast","LGA",61,55,59,49
"04/12/2024","04/12/2024","Forecast","MSS",67,49,60,45
"04/12/2024","04/12/2024","Forecast","MSV",59,47,58,44
"04/12/2024","04/12/2024","Forecast","NYC",62,56,58,50
"04/12/2024","04/12/2024","Forecast","PLB",65,49,59,48
"04/12/2024","04/12/2024","Forecast","POU",64,53,61,48
"04/12/2024","04/12/2024","Forecast","ROC",64,44,61,41
"04/12/2024","04/12/2024","Forecast","SLK",60,45,56,43
"04/12/2024","04/12/2024","Forecast","SWF",63,54,62,49
"04/12/2024","04/12/2024","Forecast","SYR",66,49,62,45
"04/12/2024","04/12/2024","Forecast","UCA",61,49,59,45
"04/12/2024","04/13/2024","Forecast","ALB",52,45,47,40
"04/12/2024","04/13/2024","Forecast","ART",45,37,42,37
"04/12/2024","04/13/2024","Forecast","BGM",45,37,42,36
"04/12/2024","04/13/2024","Forecast","BUF",48,39,42,37
"04/12/2024","04/13/2024","Forecast","ELM",47,38,41,36
"04/12/2024","04/13/2024","Forecast","ELZ",40,33,36,32
"04/12/2024","04/13/2024","Forecast","FOK",54,46,46,41
"04/12/2024","04/13/2024","Forecast","FRG",53,49,48,42
"04/12/2024","04/13/2024","Forecast","GFL",48,41,45,38
"04/12/2024","04/13/2024","Forecast","HPN",52,46,48,40
"04/12/2024","04/13/2024","Forecast","IAG",51,41,43,38
"04/12/2024","04/13/2024","Forecast","ISP",53,48,47,42
"04/12/2024","04/13/2024","Forecast","ITH",43,37,41,36
"04/12/2024","04/13/2024","Forecast","JFK",54,49,48,43
"04/12/2024","04/13/2024","Forecast","LGA",55,49,49,43
"04/12/2024","04/13/2024","Forecast","MSS",48,41,45,38
"04/12/2024","04/13/2024","Forecast","MSV",46,38,44,37
"04/12/2024","04/13/2024","Forecast","NYC",56,50,50,43
"04/12/2024","04/13/2024","Forecast","PLB",50,41,47,38
"04/12/2024","04/13/2024","Forecast","POU",53,46,48,41
"04/12/2024","04/13/2024","Forecast","ROC",48,40,42,38
"04/12/2024","04/13/2024","Forecast","SLK",43,35,42,34
"04/12/2024","04/13/2024","Forecast","SWF",53,45,48,41
"04/12/2024","04/13/2024","Forecast","SYR",48,40,44,38
"04/12/2024","04/13/2024","Forecast","UCA",47,37,44,37
