"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"12/24/2024","12/21/2024","Actual","ALB",26,10,24,8
"12/24/2024","12/21/2024","Actual","ART",19,4,18,3
"12/24/2024","12/21/2024","Actual","BGM",24,9,23,8
"12/24/2024","12/21/2024","Actual","BUF",23,15,21,13
"12/24/2024","12/21/2024","Actual","ELM",28,10,25,8
"12/24/2024","12/21/2024","Actual","ELZ",20,5,19,4
"12/24/2024","12/21/2024","Actual","FOK",32,21,31,18
"12/24/2024","12/21/2024","Actual","FRG",33,21,31,17
"12/24/2024","12/21/2024","Actual","GFL",23,8,22,6
"12/24/2024","12/21/2024","Actual","HPN",31,19,29,16
"12/24/2024","12/21/2024","Actual","IAG",24,17,22,14
"12/24/2024","12/21/2024","Actual","ISP",33,22,31,18
"12/24/2024","12/21/2024","Actual","ITH",22,12,21,11
"12/24/2024","12/21/2024","Actual","JFK",36,23,34,19
"12/24/2024","12/21/2024","Actual","LGA",34,22,31,18
"12/24/2024","12/21/2024","Actual","MSS",18,3,17,2
"12/24/2024","12/21/2024","Actual","MSV",27,9,27,8
"12/24/2024","12/21/2024","Actual","NYC",33,20,31,17
"12/24/2024","12/21/2024","Actual","PLB",18,5,17,3
"12/24/2024","12/21/2024","Actual","POU",28,16,27,14
"12/24/2024","12/21/2024","Actual","ROC",24,13,23,11
"12/24/2024","12/21/2024","Actual","SLK",15,-2,14,-3
"12/24/2024","12/21/2024","Actual","SWF",28,16,28,14
"12/24/2024","12/21/2024","Actual","SYR",22,11,21,10
"12/24/2024","12/21/2024","Actual","UCA",21,5,20,4
"12/24/2024","12/22/2024","Actual","ALB",11,1,8,0
"12/24/2024","12/22/2024","Actual","ART",9,-5,7,-6
"12/24/2024","12/22/2024","Actual","BGM",10,2,9,1
"12/24/2024","12/22/2024","Actual","BUF",14,4,12,3
"12/24/2024","12/22/2024","Actual","ELM",17,-4,14,-5
"12/24/2024","12/22/2024","Actual","ELZ",12,0,9,-1
"12/24/2024","12/22/2024","Actual","FOK",22,14,18,12
"12/24/2024","12/22/2024","Actual","FRG",21,14,18,11
"12/24/2024","12/22/2024","Actual","GFL",11,-6,8,-6
"12/24/2024","12/22/2024","Actual","HPN",18,9,15,7
"12/24/2024","12/22/2024","Actual","IAG",15,3,12,2
"12/24/2024","12/22/2024","Actual","ISP",21,14,18,12
"12/24/2024","12/22/2024","Actual","ITH",13,-5,12,-5
"12/24/2024","12/22/2024","Actual","JFK",23,15,18,12
"12/24/2024","12/22/2024","Actual","LGA",22,15,17,12
"12/24/2024","12/22/2024","Actual","MSS",8,-5,6,-6
"12/24/2024","12/22/2024","Actual","MSV",12,-2,9,-2
"12/24/2024","12/22/2024","Actual","NYC",20,14,16,11
"12/24/2024","12/22/2024","Actual","PLB",12,0,9,-1
"12/24/2024","12/22/2024","Actual","POU",17,3,13,2
"12/24/2024","12/22/2024","Actual","ROC",14,2,11,1
"12/24/2024","12/22/2024","Actual","SLK",4,-18,3,-18
"12/24/2024","12/22/2024","Actual","SWF",18,3,14,2
"12/24/2024","12/22/2024","Actual","SYR",13,3,11,2
"12/24/2024","12/22/2024","Actual","UCA",10,-2,8,-3
"12/24/2024","12/23/2024","Actual","ALB",24,-4,19,-5
"12/24/2024","12/23/2024","Actual","ART",26,-5,24,-6
"12/24/2024","12/23/2024","Actual","BGM",21,-3,18,-4
"12/24/2024","12/23/2024","Actual","BUF",35,9,31,8
"12/24/2024","12/23/2024","Actual","ELM",28,-7,24,-8
"12/24/2024","12/23/2024","Actual","ELZ",25,-1,21,-2
"12/24/2024","12/23/2024","Actual","FOK",27,8,22,7
"12/24/2024","12/23/2024","Actual","FRG",27,11,24,9
"12/24/2024","12/23/2024","Actual","GFL",16,-8,14,-8
"12/24/2024","12/23/2024","Actual","HPN",26,7,22,5
"12/24/2024","12/23/2024","Actual","IAG",36,10,34,8
"12/24/2024","12/23/2024","Actual","ISP",26,11,22,10
"12/24/2024","12/23/2024","Actual","ITH",24,-6,21,-6
"12/24/2024","12/23/2024","Actual","JFK",32,13,29,11
"12/24/2024","12/23/2024","Actual","LGA",30,12,26,9
"12/24/2024","12/23/2024","Actual","MSS",19,-7,18,-7
"12/24/2024","12/23/2024","Actual","MSV",21,-8,17,-8
"12/24/2024","12/23/2024","Actual","NYC",30,13,26,11
"12/24/2024","12/23/2024","Actual","PLB",16,-1,16,-2
"12/24/2024","12/23/2024","Actual","POU",24,-2,20,-3
"12/24/2024","12/23/2024","Actual","ROC",32,1,28,0
"12/24/2024","12/23/2024","Actual","SLK",20,-22,19,-22
"12/24/2024","12/23/2024","Actual","SWF",25,0,20,-1
"12/24/2024","12/23/2024","Actual","SYR",30,0,25,-1
"12/24/2024","12/23/2024","Actual","UCA",18,-2,16,-3
"12/24/2024","12/24/2024","Forecast","ALB",32,24,29,20
"12/24/2024","12/24/2024","Forecast","ART",30,19,29,18
"12/24/2024","12/24/2024","Forecast","BGM",31,20,29,19
"12/24/2024","12/24/2024","Forecast","BUF",34,30,33,29
"12/24/2024","12/24/2024","Forecast","ELM",37,26,34,24
"12/24/2024","12/24/2024","Forecast","ELZ",30,24,30,23
"12/24/2024","12/24/2024","Forecast","FOK",36,27,33,24
"12/24/2024","12/24/2024","Forecast","FRG",37,30,34,27
"12/24/2024","12/24/2024","Forecast","GFL",29,16,27,15
"12/24/2024","12/24/2024","Forecast","HPN",36,25,33,22
"12/24/2024","12/24/2024","Forecast","IAG",37,31,35,29
"12/24/2024","12/24/2024","Forecast","ISP",37,28,34,26
"12/24/2024","12/24/2024","Forecast","ITH",32,22,31,21
"12/24/2024","12/24/2024","Forecast","JFK",39,32,35,28
"12/24/2024","12/24/2024","Forecast","LGA",38,31,34,25
"12/24/2024","12/24/2024","Forecast","MSS",24,14,22,14
"12/24/2024","12/24/2024","Forecast","MSV",33,17,31,15
"12/24/2024","12/24/2024","Forecast","NYC",37,30,33,25
"12/24/2024","12/24/2024","Forecast","PLB",26,14,24,13
"12/24/2024","12/24/2024","Forecast","POU",38,22,34,20
"12/24/2024","12/24/2024","Forecast","ROC",34,30,33,28
"12/24/2024","12/24/2024","Forecast","SLK",24,11,23,11
"12/24/2024","12/24/2024","Forecast","SWF",37,18,34,16
"12/24/2024","12/24/2024","Forecast","SYR",36,25,34,24
"12/24/2024","12/24/2024","Forecast","UCA",31,18,30,17
"12/24/2024","12/25/2024","Forecast","ALB",26,16,23,15
"12/24/2024","12/25/2024","Forecast","ART",25,15,23,14
"12/24/2024","12/25/2024","Forecast","BGM",25,16,23,15
"12/24/2024","12/25/2024","Forecast","BUF",31,25,29,24
"12/24/2024","12/25/2024","Forecast","ELM",33,22,29,21
"12/24/2024","12/25/2024","Forecast","ELZ",28,20,26,19
"12/24/2024","12/25/2024","Forecast","FOK",33,25,29,24
"12/24/2024","12/25/2024","Forecast","FRG",34,26,30,24
"12/24/2024","12/25/2024","Forecast","GFL",25,14,22,13
"12/24/2024","12/25/2024","Forecast","HPN",32,23,28,21
"12/24/2024","12/25/2024","Forecast","IAG",33,27,30,25
"12/24/2024","12/25/2024","Forecast","ISP",35,26,30,24
"12/24/2024","12/25/2024","Forecast","ITH",27,18,25,17
"12/24/2024","12/25/2024","Forecast","JFK",36,28,31,25
"12/24/2024","12/25/2024","Forecast","LGA",34,28,30,25
"12/24/2024","12/25/2024","Forecast","MSS",20,10,19,10
"12/24/2024","12/25/2024","Forecast","MSV",30,14,26,14
"12/24/2024","12/25/2024","Forecast","NYC",33,27,29,24
"12/24/2024","12/25/2024","Forecast","PLB",21,10,19,9
"12/24/2024","12/25/2024","Forecast","POU",31,18,27,17
"12/24/2024","12/25/2024","Forecast","ROC",32,25,29,24
"12/24/2024","12/25/2024","Forecast","SLK",22,5,20,5
"12/24/2024","12/25/2024","Forecast","SWF",31,19,28,18
"12/24/2024","12/25/2024","Forecast","SYR",29,20,26,19
"12/24/2024","12/25/2024","Forecast","UCA",24,14,22,13
