"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"10/31/2024","10/28/2024","Actual","ALB",50,38,42,34
"10/31/2024","10/28/2024","Actual","ART",52,34,44,31
"10/31/2024","10/28/2024","Actual","BGM",55,36,43,33
"10/31/2024","10/28/2024","Actual","BUF",60,42,49,39
"10/31/2024","10/28/2024","Actual","ELM",62,30,46,29
"10/31/2024","10/28/2024","Actual","ELZ",57,32,44,30
"10/31/2024","10/28/2024","Actual","FOK",57,38,48,35
"10/31/2024","10/28/2024","Actual","FRG",60,41,48,38
"10/31/2024","10/28/2024","Actual","GFL",46,28,38,27
"10/31/2024","10/28/2024","Actual","HPN",58,38,46,35
"10/31/2024","10/28/2024","Actual","IAG",61,42,49,39
"10/31/2024","10/28/2024","Actual","ISP",60,40,48,37
"10/31/2024","10/28/2024","Actual","ITH",57,29,45,28
"10/31/2024","10/28/2024","Actual","JFK",60,44,48,40
"10/31/2024","10/28/2024","Actual","LGA",60,50,48,40
"10/31/2024","10/28/2024","Actual","MSS",44,27,34,25
"10/31/2024","10/28/2024","Actual","MSV",56,27,44,27
"10/31/2024","10/28/2024","Actual","NYC",60,47,47,38
"10/31/2024","10/28/2024","Actual","PLB",43,28,34,25
"10/31/2024","10/28/2024","Actual","POU",59,30,46,28
"10/31/2024","10/28/2024","Actual","ROC",56,39,49,36
"10/31/2024","10/28/2024","Actual","SLK",41,28,34,26
"10/31/2024","10/28/2024","Actual","SWF",59,34,46,31
"10/31/2024","10/28/2024","Actual","SYR",58,39,49,37
"10/31/2024","10/28/2024","Actual","UCA",54,37,45,35
"10/31/2024","10/29/2024","Actual","ALB",56,34,51,31
"10/31/2024","10/29/2024","Actual","ART",60,37,53,34
"10/31/2024","10/29/2024","Actual","BGM",57,41,48,35
"10/31/2024","10/29/2024","Actual","BUF",67,45,60,41
"10/31/2024","10/29/2024","Actual","ELM",62,32,53,30
"10/31/2024","10/29/2024","Actual","ELZ",57,42,51,40
"10/31/2024","10/29/2024","Actual","FOK",61,48,57,45
"10/31/2024","10/29/2024","Actual","FRG",64,46,58,44
"10/31/2024","10/29/2024","Actual","GFL",54,27,49,26
"10/31/2024","10/29/2024","Actual","HPN",59,43,55,42
"10/31/2024","10/29/2024","Actual","IAG",69,39,60,36
"10/31/2024","10/29/2024","Actual","ISP",61,46,58,44
"10/31/2024","10/29/2024","Actual","ITH",58,44,51,37
"10/31/2024","10/29/2024","Actual","JFK",65,52,59,49
"10/31/2024","10/29/2024","Actual","LGA",63,51,57,46
"10/31/2024","10/29/2024","Actual","MSS",57,31,51,28
"10/31/2024","10/29/2024","Actual","MSV",60,29,52,29
"10/31/2024","10/29/2024","Actual","NYC",62,52,58,47
"10/31/2024","10/29/2024","Actual","PLB",54,31,49,28
"10/31/2024","10/29/2024","Actual","POU",59,34,55,33
"10/31/2024","10/29/2024","Actual","ROC",62,37,55,35
"10/31/2024","10/29/2024","Actual","SLK",52,23,47,22
"10/31/2024","10/29/2024","Actual","SWF",59,37,56,36
"10/31/2024","10/29/2024","Actual","SYR",62,40,52,36
"10/31/2024","10/29/2024","Actual","UCA",59,36,51,33
"10/31/2024","10/30/2024","Actual","ALB",74,54,62,52
"10/31/2024","10/30/2024","Actual","ART",75,58,63,53
"10/31/2024","10/30/2024","Actual","BGM",73,49,61,45
"10/31/2024","10/30/2024","Actual","BUF",73,61,63,56
"10/31/2024","10/30/2024","Actual","ELM",80,40,64,40
"10/31/2024","10/30/2024","Actual","ELZ",71,52,59,51
"10/31/2024","10/30/2024","Actual","FOK",66,56,62,55
"10/31/2024","10/30/2024","Actual","FRG",70,56,61,55
"10/31/2024","10/30/2024","Actual","GFL",71,48,62,48
"10/31/2024","10/30/2024","Actual","HPN",76,52,62,51
"10/31/2024","10/30/2024","Actual","IAG",74,66,63,59
"10/31/2024","10/30/2024","Actual","ISP",69,56,61,56
"10/31/2024","10/30/2024","Actual","ITH",76,53,63,49
"10/31/2024","10/30/2024","Actual","JFK",70,57,62,55
"10/31/2024","10/30/2024","Actual","LGA",78,59,62,54
"10/31/2024","10/30/2024","Actual","MSS",74,48,63,47
"10/31/2024","10/30/2024","Actual","MSV",74,43,62,43
"10/31/2024","10/30/2024","Actual","NYC",75,58,61,54
"10/31/2024","10/30/2024","Actual","PLB",67,49,62,48
"10/31/2024","10/30/2024","Actual","POU",78,48,63,47
"10/31/2024","10/30/2024","Actual","ROC",78,57,66,52
"10/31/2024","10/30/2024","Actual","SLK",70,51,60,48
"10/31/2024","10/30/2024","Actual","SWF",77,50,63,50
"10/31/2024","10/30/2024","Actual","SYR",80,58,65,51
"10/31/2024","10/30/2024","Actual","UCA",77,51,63,49
"10/31/2024","10/31/2024","Forecast","ALB",77,55,63,52
"10/31/2024","10/31/2024","Forecast","ART",75,63,63,56
"10/31/2024","10/31/2024","Forecast","BGM",73,55,62,51
"10/31/2024","10/31/2024","Forecast","BUF",74,61,64,55
"10/31/2024","10/31/2024","Forecast","ELM",78,44,63,43
"10/31/2024","10/31/2024","Forecast","ELZ",71,56,60,51
"10/31/2024","10/31/2024","Forecast","FOK",72,53,63,52
