"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/13/2024","01/10/2024","Actual","ALB",49,38,46,33
"01/13/2024","01/10/2024","Actual","ART",50,33,46,30
"01/13/2024","01/10/2024","Actual","BGM",47,33,45,31
"01/13/2024","01/10/2024","Actual","BUF",47,32,44,29
"01/13/2024","01/10/2024","Actual","ELM",48,38,45,33
"01/13/2024","01/10/2024","Actual","ELZ",43,31,42,28
"01/13/2024","01/10/2024","Actual","FOK",55,42,55,37
"01/13/2024","01/10/2024","Actual","FRG",55,45,54,38
"01/13/2024","01/10/2024","Actual","GFL",46,35,41,32
"01/13/2024","01/10/2024","Actual","HPN",56,43,55,36
"01/13/2024","01/10/2024","Actual","IAG",48,34,45,30
"01/13/2024","01/10/2024","Actual","ISP",55,44,55,37
"01/13/2024","01/10/2024","Actual","ITH",47,32,46,30
"01/13/2024","01/10/2024","Actual","JFK",53,44,53,37
"01/13/2024","01/10/2024","Actual","LGA",57,45,55,37
"01/13/2024","01/10/2024","Actual","MSS",43,31,40,28
"01/13/2024","01/10/2024","Actual","MSV",48,34,48,32
"01/13/2024","01/10/2024","Actual","NYC",57,45,54,38
"01/13/2024","01/10/2024","Actual","PLB",43,32,38,29
"01/13/2024","01/10/2024","Actual","POU",56,42,54,37
"01/13/2024","01/10/2024","Actual","ROC",52,34,48,30
"01/13/2024","01/10/2024","Actual","SLK",45,27,41,26
"01/13/2024","01/10/2024","Actual","SWF",55,41,53,36
"01/13/2024","01/10/2024","Actual","SYR",42,34,39,30
"01/13/2024","01/10/2024","Actual","UCA",41,32,39,29
"01/13/2024","01/11/2024","Actual","ALB",41,36,36,32
"01/13/2024","01/11/2024","Actual","ART",34,29,33,28
"01/13/2024","01/11/2024","Actual","BGM",36,31,33,29
"01/13/2024","01/11/2024","Actual","BUF",35,32,35,31
"01/13/2024","01/11/2024","Actual","ELM",41,36,36,31
"01/13/2024","01/11/2024","Actual","ELZ",33,29,31,27
"01/13/2024","01/11/2024","Actual","FOK",45,34,39,32
"01/13/2024","01/11/2024","Actual","FRG",45,40,40,35
"01/13/2024","01/11/2024","Actual","GFL",37,33,34,31
"01/13/2024","01/11/2024","Actual","HPN",44,39,37,34
