"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"03/03/2025","02/28/2025","Actual","ALB",40,34,37,29
"03/03/2025","02/28/2025","Actual","ART",40,21,34,18
"03/03/2025","02/28/2025","Actual","BGM",39,27,33,24
"03/03/2025","02/28/2025","Actual","BUF",47,28,40,26
"03/03/2025","02/28/2025","Actual","ELM",45,33,36,29
"03/03/2025","02/28/2025","Actual","ELZ",42,27,36,24
"03/03/2025","02/28/2025","Actual","FOK",50,38,43,31
"03/03/2025","02/28/2025","Actual","FRG",51,37,41,34
"03/03/2025","02/28/2025","Actual","GFL",38,28,35,26
"03/03/2025","02/28/2025","Actual","HPN",47,38,38,33
"03/03/2025","02/28/2025","Actual","IAG",46,29,40,26
"03/03/2025","02/28/2025","Actual","ISP",51,37,41,33
"03/03/2025","02/28/2025","Actual","ITH",39,26,34,24
"03/03/2025","02/28/2025","Actual","JFK",55,42,42,37
"03/03/2025","02/28/2025","Actual","LGA",52,43,39,36
"03/03/2025","02/28/2025","Actual","MSS",35,13,33,10
"03/03/2025","02/28/2025","Actual","MSV",38,32,34,29
"03/03/2025","02/28/2025","Actual","NYC",50,43,39,36
"03/03/2025","02/28/2025","Actual","PLB",38,18,35,15
"03/03/2025","02/28/2025","Actual","POU",45,34,37,32
"03/03/2025","02/28/2025","Actual","ROC",45,27,39,24
"03/03/2025","02/28/2025","Actual","SLK",32,13,31,11
"03/03/2025","02/28/2025","Actual","SWF",45,36,36,32
"03/03/2025","02/28/2025","Actual","SYR",45,29,37,25
"03/03/2025","02/28/2025","Actual","UCA",37,26,34,23
"03/03/2025","03/01/2025","Actual","ALB",47,20,39,17
"03/03/2025","03/01/2025","Actual","ART",43,13,37,10
"03/03/2025","03/01/2025","Actual","BGM",42,14,37,12
"03/03/2025","03/01/2025","Actual","BUF",42,16,38,14
"03/03/2025","03/01/2025","Actual","ELM",46,18,40,15
"03/03/2025","03/01/2025","Actual","ELZ",42,8,37,7
"03/03/2025","03/01/2025","Actual","FOK",50,29,45,24
"03/03/2025","03/01/2025","Actual","FRG",54,29,46,23
"03/03/2025","03/01/2025","Actual","GFL",45,17,40,14
"03/03/2025","03/01/2025","Actual","HPN",63,26,48,21
"03/03/2025","03/01/2025","Actual","IAG",42,18,38,15
"03/03/2025","03/01/2025","Actual","ISP",52,29,45,24
"03/03/2025","03/01/2025","Actual","ITH",43,15,37,13
"03/03/2025","03/01/2025","Actual","JFK",62,32,49,25
"03/03/2025","03/01/2025","Actual","LGA",64,30,47,24
"03/03/2025","03/01/2025","Actual","MSS",37,8,35,6
"03/03/2025","03/01/2025","Actual","MSV",49,17,40,14
"03/03/2025","03/01/2025","Actual","NYC",64,28,47,22
"03/03/2025","03/01/2025","Actual","PLB",40,10,37,8
"03/03/2025","03/01/2025","Actual","POU",57,24,45,19
"03/03/2025","03/01/2025","Actual","ROC",44,17,39,15
"03/03/2025","03/01/2025","Actual","SLK",35,4,32,3
"03/03/2025","03/01/2025","Actual","SWF",55,25,44,20
"03/03/2025","03/01/2025","Actual","SYR",46,17,40,15
"03/03/2025","03/01/2025","Actual","UCA",42,14,37,13
"03/03/2025","03/02/2025","Actual","ALB",21,11,16,9
"03/03/2025","03/02/2025","Actual","ART",12,0,10,-1
"03/03/2025","03/02/2025","Actual","BGM",16,7,14,6
"03/03/2025","03/02/2025","Actual","BUF",22,10,19,8
"03/03/2025","03/02/2025","Actual","ELM",23,14,19,12
"03/03/2025","03/02/2025","Actual","ELZ",16,8,14,7
"03/03/2025","03/02/2025","Actual","FOK",32,21,24,17
"03/03/2025","03/02/2025","Actual","FRG",33,20,24,16
"03/03/2025","03/02/2025","Actual","GFL",23,3,17,2
"03/03/2025","03/02/2025","Actual","HPN",30,18,23,14
"03/03/2025","03/02/2025","Actual","IAG",24,11,21,9
"03/03/2025","03/02/2025","Actual","ISP",33,21,25,17
"03/03/2025","03/02/2025","Actual","ITH",18,9,16,7
"03/03/2025","03/02/2025","Actual","JFK",38,23,28,18
"03/03/2025","03/02/2025","Actual","LGA",34,22,25,18
"03/03/2025","03/02/2025","Actual","MSS",10,-9,7,-10
"03/03/2025","03/02/2025","Actual","MSV",21,10,17,8
"03/03/2025","03/02/2025","Actual","NYC",34,19,25,15
"03/03/2025","03/02/2025","Actual","PLB",14,1,11,-1
"03/03/2025","03/02/2025","Actual","POU",32,18,24,14
"03/03/2025","03/02/2025","Actual","ROC",22,9,20,7
"03/03/2025","03/02/2025","Actual","SLK",7,-12,5,-12
"03/03/2025","03/02/2025","Actual","SWF",28,16,22,13
"03/03/2025","03/02/2025","Actual","SYR",21,10,18,8
"03/03/2025","03/02/2025","Actual","UCA",15,3,13,2
"03/03/2025","03/03/2025","Forecast","ALB",29,9,24,7
"03/03/2025","03/03/2025","Forecast","ART",28,-2,25,-3
"03/03/2025","03/03/2025","Forecast","BGM",30,16,24,14
"03/03/2025","03/03/2025","Forecast","BUF",34,19,29,17
"03/03/2025","03/03/2025","Forecast","ELM",38,18,30,15
"03/03/2025","03/03/2025","Forecast","ELZ",31,14,26,12
"03/03/2025","03/03/2025","Forecast","FOK",33,17,26,14
"03/03/2025","03/03/2025","Forecast","FRG",35,20,28,16
"03/03/2025","03/03/2025","Forecast","GFL",26,-3,22,-4
"03/03/2025","03/03/2025","Forecast","HPN",35,19,27,16
"03/03/2025","03/03/2025","Forecast","IAG",35,19,30,17
"03/03/2025","03/03/2025","Forecast","ISP",35,19,27,16
"03/03/2025","03/03/2025","Forecast","ITH",32,17,27,15
"03/03/2025","03/03/2025","Forecast","JFK",38,25,30,20
"03/03/2025","03/03/2025","Forecast","LGA",37,24,29,19
"03/03/2025","03/03/2025","Forecast","MSS",25,-14,22,-14
"03/03/2025","03/03/2025","Forecast","MSV",30,12,24,10
"03/03/2025","03/03/2025","Forecast","NYC",37,23,29,18
"03/03/2025","03/03/2025","Forecast","PLB",24,-3,20,-4
