"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"12/11/2024 00:00",1179,1448,535,915,909,1749,718,250,4493,591,1566,14353
"12/11/2024 01:00",1152,1419,515,889,876,1653,698,238,4293,589,1531,13853
"12/11/2024 02:00",1133,1395,492,876,854,1595,685,231,4176,587,1511,13535
"12/11/2024 03:00",1126,1386,483,877,843,1567,679,229,4119,585,1503,13397
"12/11/2024 04:00",1140,1422,486,901,848,1587,696,234,4157,589,1518,13578
"12/11/2024 05:00",1199,1492,511,954,888,1683,743,249,4379,602,1579,14279
"12/11/2024 06:00",1315,1632,573,1044,975,1862,821,275,4825,622,1684,15628
"12/11/2024 07:00",1389,1728,624,1116,1037,2007,864,295,5292,640,1776,16768
"12/11/2024 08:00",1407,1756,643,1139,1075,2098,882,304,5597,640,1805,17346
"12/11/2024 09:00",1406,1771,655,1158,1081,2152,883,305,5781,639,1834,17665
"12/11/2024 10:00",1382,1787,651,1174,1078,2172,879,307,5847,638,1860,17775
"12/11/2024 11:00",1384,1805,661,1178,1079,2203,883,307,5882,637,1870,17889
"12/11/2024 12:00",1396,1830,655,1184,1077,2210,885,308,5907,638,1877,17967
"12/11/2024 13:00",1410,1836,653,1193,1088,2188,881,302,5923,637,1898,18009
"12/11/2024 14:00",1408,1842,655,1192,1094,2216,881,304,5902,636,1903,18033
"12/11/2024 15:00",1424,1852,663,1211,1107,2247,884,305,5915,638,1909,18155
"12/11/2024 16:00",1503,1900,686,1255,1152,2443,918,319,6030,651,1952,18809
"12/11/2024 17:00",1548,1956,702,1287,1193,2523,948,337,6071,660,1994,19219
"12/11/2024 18:00",1531,1907,697,1264,1166,2485,938,341,5876,655,1975,18835
"12/11/2024 19:00",1492,1877,680,1231,1142,2415,919,331,5715,654,1956,18412
"12/11/2024 20:00",1447,1829,655,1198,1117,2331,892,320,5532,649,1927,17897
"12/11/2024 21:00",1366,1753,632,1139,1069,2209,849,306,5332,637,1876,17168
"12/11/2024 22:00",1282,1656,593,1071,1002,2052,802,282,5029,621,1796,16186
"12/11/2024 23:00",1210,1585,551,1013,932,1895,760,259,4718,613,1716,15252
"12/12/2024 00:00",1160,1554,522,982,895,1761,734,250,4482,620,1680,14640
"12/12/2024 01:00",1142,1538,507,959,877,1684,722,245,4299,621,1643,14237
"12/12/2024 02:00",1131,1523,492,949,868,1643,718,243,4192,621,1624,14004
"12/12/2024 03:00",1135,1533,492,956,868,1636,723,248,4142,625,1619,13977
"12/12/2024 04:00",1164,1588,503,985,888,1687,748,256,4202,629,1638,14288
"12/12/2024 05:00",1239,1674,537,1044,946,1814,803,280,4456,641,1704,15138
"12/12/2024 06:00",1369,1817,603,1135,1051,2025,891,315,4915,670,1806,16597
"12/12/2024 07:00",1431,1904,648,1201,1100,2141,929,335,5377,687,1896,17649
"12/12/2024 08:00",1390,1891,645,1197,1043,2095,925,328,5624,682,1915,17735
"12/12/2024 09:00",1335,1842,640,1159,931,2004,903,314,5755,674,1930,17487
"12/12/2024 10:00",1291,1818,625,1142,883,1947,891,303,5794,671,1941,17306
"12/12/2024 11:00",1288,1828,636,1128,876,1955,888,306,5852,669,1941,17367
"12/12/2024 12:00",1332,1827,635,1128,875,1997,890,307,5889,667,1942,17489
"12/12/2024 13:00",1365,1839,645,1148,927,2052,901,311,5935,672,1958,17753
