"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/26/2024 00:00",1297,1506,647,1023,1030,2462,712,297,6143,609,1689,17415
"07/26/2024 01:00",1241,1441,608,972,963,2277,673,275,5836,604,1621,16511
"07/26/2024 02:00",1205,1393,570,940,917,2152,648,258,5601,598,1571,15853
"07/26/2024 03:00",1185,1378,547,921,889,2070,636,246,5431,594,1546,15443
"07/26/2024 04:00",1189,1381,538,922,877,2043,638,243,5380,596,1542,15349
"07/26/2024 05:00",1217,1423,548,942,887,2061,663,249,5502,599,1572,15663
"07/26/2024 06:00",1244,1461,579,946,896,2096,682,266,5832,606,1602,16210
"07/26/2024 07:00",1268,1469,626,953,909,2226,656,280,6238,614,1676,16915
"07/26/2024 08:00",1251,1444,656,944,900,2356,604,291,6545,613,1738,17342
"07/26/2024 09:00",1226,1420,680,957,885,2475,575,307,6776,610,1787,17698
"07/26/2024 10:00",1215,1423,695,993,884,2615,557,314,6933,612,1827,18068
"07/26/2024 11:00",1236,1455,718,1026,931,2786,571,331,7140,618,1867,18679
"07/26/2024 12:00",1277,1499,745,1052,1001,2965,580,349,7295,620,1909,19292
"07/26/2024 13:00",1339,1560,779,1079,1078,3194,602,371,7455,623,1947,20027
"07/26/2024 14:00",1399,1588,809,1094,1165,3407,623,384,7578,630,1977,20654
"07/26/2024 15:00",1456,1614,845,1116,1236,3570,646,404,7704,632,2013,21236
"07/26/2024 16:00",1532,1650,869,1156,1317,3707,691,418,7817,637,2048,21842
"07/26/2024 17:00",1611,1716,881,1189,1401,3790,744,427,7781,641,2082,22263
"07/26/2024 18:00",1652,1812,864,1247,1442,3759,800,420,7524,649,2101,22270
"07/26/2024 19:00",1662,1873,828,1286,1438,3578,868,402,7291,654,2078,21958
"07/26/2024 20:00",1644,1855,803,1275,1399,3433,903,386,7101,655,2014,21468
"07/26/2024 21:00",1601,1796,782,1237,1335,3277,878,372,6935,647,1967,20827
"07/26/2024 22:00",1505,1691,747,1157,1236,3052,818,355,6655,632,1875,19723
"07/26/2024 23:00",1406,1578,702,1074,1139,2809,753,325,6374,621,1771,18552
"07/27/2024 00:00",1316,1491,651,1001,1033,2565,684,291,6016,616,1678,17342
"07/27/2024 01:00",1247,1420,614,948,967,2378,642,268,5736,611,1608,16439
"07/27/2024 02:00",1201,1372,582,912,919,2240,619,254,5511,605,1559,15774
"07/27/2024 03:00",1172,1338,558,888,886,2144,607,245,5353,600,1525,15316
"07/27/2024 04:00",1158,1329,547,876,866,2088,603,240,5250,599,1510,15066
"07/27/2024 05:00",1151,1338,545,884,861,2059,605,241,5223,597,1515,15019
"07/27/2024 06:00",1141,1320,547,869,850,2049,600,246,5286,594,1503,15005
"07/27/2024 07:00",1158,1304,572,850,855,2166,584,261,5535,604,1547,15436
"07/27/2024 08:00",1160,1310,604,847,855,2346,574,282,5817,609,1606,16010
"07/27/2024 09:00",1161,1328,641,877,863,2546,571,303,6117,615,1660,16682
"07/27/2024 10:00",1189,1340,672,918,888,2737,571,322,6368,615,1714,17334
"07/27/2024 11:00",1248,1379,706,969,954,2947,579,343,6560,622,1771,18078
"07/27/2024 12:00",1302,1424,741,1015,1039,3155,595,364,6736,622,1833,18826
"07/27/2024 13:00",1361,1470,772,1072,1135,3336,614,382,6828,624,1885,19479
"07/27/2024 14:00",1413,1536,804,1123,1199,3486,639,402,6922,631,1931,20086
"07/27/2024 15:00",1484,1601,837,1162,1285,3650,674,416,7028,635,1980,20752
"07/27/2024 16:00",1580,1688,857,1203,1348,3780,719,424,7125,644,2046,21414
"07/27/2024 17:00",1666,1801,862,1251,1405,3821,769,428,7105,652,2100,21860
"07/27/2024 18:00",1728,1910,851,1304,1453,3751,831,422,7028,664,2125,22067
"07/27/2024 19:00",1750,1960,834,1350,1461,3578,895,404,6886,668,2105,21891
"07/27/2024 20:00",1728,1939,822,1339,1431,3426,927,390,6774,665,2044,21485
"07/27/2024 21:00",1677,1873,806,1290,1373,3295,905,376,6719,659,1985,20958
"07/27/2024 22:00",1567,1759,772,1210,1276,3092,853,352,6575,646,1901,20003
"07/27/2024 23:00",1453,1643,728,1124,1172,2859,785,326,6359,635,1803,18887
"07/28/2024 00:00",1370,1555,678,1052,1054,2621,703,302,6024,628,1701,17688
"07/28/2024 01:00",1301,1477,640,995,987,2445,658,280,5770,620,1626,16799
"07/28/2024 02:00",1251,1424,606,954,937,2311,636,266,5563,614,1576,16138
"07/28/2024 03:00",1219,1385,583,925,899,2216,622,256,5416,608,1540,15669
"07/28/2024 04:00",1199,1363,569,906,876,2159,614,249,5317,607,1522,15381
"07/28/2024 05:00",1185,1357,563,903,866,2123,610,248,5277,605,1515,15252
"07/28/2024 06:00",1170,1337,561,874,852,2093,599,251,5287,600,1504,15128
"07/28/2024 07:00",1194,1313,580,845,863,2204,571,265,5478,603,1539,15455
"07/28/2024 08:00",1195,1290,609,849,879,2355,534,285,5747,609,1609,15961
"07/28/2024 09:00",1218,1325,650,907,906,2566,543,311,6074,619,1687,16806
"07/28/2024 10:00",1261,1381,693,985,949,2783,564,339,6373,627,1775,17730
"07/28/2024 11:00",1336,1480,740,1079,1034,2996,590,371,6627,636,1878,18767
"07/28/2024 12:00",1408,1580,788,1161,1145,3218,627,400,6836,640,1971,19774
"07/28/2024 13:00",1484,1666,830,1241,1257,3417,655,424,7001,641,2039,20655
"07/28/2024 14:00",1545,1756,866,1307,1329,3586,683,449,7138,645,2097,21401
"07/28/2024 15:00",1631,1838,898,1362,1425,3772,722,464,7259,651,2171,22193
"07/28/2024 16:00",1735,1942,920,1431,1516,3912,780,475,7362,662,2264,22999
"07/28/2024 17:00",1832,2065,928,1500,1599,3959,840,482,7353,675,2333,23566
"07/28/2024 18:00",1893,2180,922,1551,1653,3893,909,476,7312,683,2356,23828
"07/28/2024 19:00",1913,2235,907,1584,1635,3729,987,456,7212,687,2321,23666
"07/28/2024 20:00",1892,2209,900,1563,1578,3594,1022,439,7174,686,2256,23313
"07/28/2024 21:00",1824,2119,881,1500,1495,3464,983,420,7149,678,2195,22708
"07/28/2024 22:00",1683,1963,830,1393,1365,3215,905,387,6975,663,2091,21470
"07/28/2024 23:00",1546,1821,770,1279,1234,2936,827,352,6692,648,1979,20084
"07/29/2024 00:00",1436,1716,716,1190,1113,2679,758,329,6352,633,1873,18795
"07/29/2024 01:00",1369,1636,679,1125,1045,2506,717,308,6121,625,1799,17930
"07/29/2024 02:00",1329,1570,645,1083,999,2383,690,288,5935,619,1744,17285
"07/29/2024 03:00",1304,1546,626,1059,972,2305,677,277,5813,618,1715,16912
