"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"08/25/2024 00:00",1177,1471,624,983,962,2329,702,255,5460,598,1581,16142
"08/25/2024 01:00",1129,1417,594,933,908,2187,672,239,5261,594,1530,15464
"08/25/2024 02:00",1098,1372,566,899,868,2085,649,227,5098,588,1492,14942
"08/25/2024 03:00",1080,1344,543,875,843,2008,634,219,4957,582,1465,14550
"08/25/2024 04:00",1076,1332,532,863,828,1966,627,214,4869,583,1454,14344
"08/25/2024 05:00",1084,1342,527,866,832,1962,637,216,4858,586,1455,14365
"08/25/2024 06:00",1086,1352,529,860,834,1961,655,224,4913,589,1452,14455
"08/25/2024 07:00",1098,1331,551,832,848,2024,641,238,5079,590,1464,14696
"08/25/2024 08:00",1110,1285,584,807,853,2181,588,259,5326,593,1498,15084
"08/25/2024 09:00",1104,1252,614,815,846,2348,548,281,5616,598,1537,15559
"08/25/2024 10:00",1103,1279,648,848,865,2502,519,306,5916,599,1591,16176
"08/25/2024 11:00",1129,1322,684,884,936,2698,522,328,6142,606,1671,16922
"08/25/2024 12:00",1173,1400,717,957,1018,2904,545,351,6344,610,1755,17774
"08/25/2024 13:00",1219,1469,757,1038,1106,3088,570,377,6486,614,1838,18562
"08/25/2024 14:00",1272,1544,798,1082,1194,3237,579,402,6616,617,1900,19241
"08/25/2024 15:00",1356,1624,835,1130,1289,3362,611,416,6746,621,1946,19936
"08/25/2024 16:00",1458,1745,863,1198,1387,3479,672,426,6843,630,2009,20710
"08/25/2024 17:00",1539,1863,878,1271,1458,3525,758,433,6818,640,2078,21261
"08/25/2024 18:00",1596,1970,862,1322,1486,3435,855,419,6735,650,2106,21436
"08/25/2024 19:00",1626,2037,847,1362,1458,3310,933,403,6702,656,2075,21409
"08/25/2024 20:00",1618,2017,834,1360,1413,3176,947,393,6650,653,2042,21103
"08/25/2024 21:00",1540,1921,804,1305,1324,2999,905,370,6571,640,1980,20359
"08/25/2024 22:00",1437,1795,765,1218,1218,2784,842,342,6396,624,1881,19302
"08/25/2024 23:00",1332,1673,717,1130,1117,2562,777,309,6151,613,1779,18160
"08/26/2024 00:00",1271,1575,670,1051,1036,2374,697,284,5903,608,1709,17178
"08/26/2024 01:00",1228,1523,636,1007,976,2239,669,265,5692,604,1658,16497
"08/26/2024 02:00",1204,1471,606,974,933,2145,647,249,5529,601,1623,15982
"08/26/2024 03:00",1190,1449,588,957,908,2086,638,239,5415,598,1607,15675
"08/26/2024 04:00",1202,1458,584,961,901,2081,646,236,5401,601,1604,15675
"08/26/2024 05:00",1238,1520,602,997,924,2152,686,244,5563,607,1652,16185
"08/26/2024 06:00",1297,1612,638,1050,968,2257,746,261,5929,616,1723,17097
"08/26/2024 07:00",1353,1652,682,1081,1008,2390,758,283,6350,624,1807,17988
"08/26/2024 08:00",1357,1613,715,1078,987,2488,707,299,6716,629,1863,18452
"08/26/2024 09:00",1333,1568,738,1084,971,2578,647,307,7022,629,1892,18769
