"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"12/10/2023 00:00",1101,1431,507,865,909,1763,664,258,4461,663,1375,13997
"12/10/2023 01:00",1078,1382,479,838,874,1663,636,247,4291,656,1336,13480
"12/10/2023 02:00",1060,1358,458,820,851,1599,620,242,4165,650,1314,13137
"12/10/2023 03:00",1052,1348,445,812,841,1558,611,241,4079,647,1303,12937
"12/10/2023 04:00",1057,1358,441,814,839,1551,614,238,4049,648,1305,12914
"12/10/2023 05:00",1077,1394,452,832,854,1577,629,242,4087,654,1324,13122
"12/10/2023 06:00",1108,1448,470,863,894,1652,658,254,4210,661,1359,13577
"12/10/2023 07:00",1157,1508,499,903,934,1705,700,271,4348,677,1417,14119
"12/10/2023 08:00",1195,1561,524,944,964,1772,738,283,4510,691,1462,14644
"12/10/2023 09:00",1217,1596,548,973,976,1841,753,293,4670,697,1502,15066
"12/10/2023 10:00",1232,1630,563,1005,992,1896,758,302,4819,700,1520,15417
"12/10/2023 11:00",1238,1655,578,1020,1014,1912,776,304,4939,700,1539,15675
"12/10/2023 12:00",1267,1692,592,1028,1022,1942,783,307,4990,697,1546,15866
"12/10/2023 13:00",1282,1698,601,1029,1032,2029,784,308,5062,698,1556,16079
"12/10/2023 14:00",1294,1696,605,1039,1043,2070,784,312,5089,694,1574,16200
"12/10/2023 15:00",1316,1691,615,1065,1061,2133,795,312,5142,700,1602,16432
"12/10/2023 16:00",1381,1765,646,1133,1121,2286,836,333,5266,717,1684,17168
"12/10/2023 17:00",1408,1835,670,1176,1150,2387,865,346,5332,729,1750,17648
"12/10/2023 18:00",1392,1807,666,1156,1128,2347,849,340,5272,726,1728,17411
"12/10/2023 19:00",1349,1768,655,1128,1099,2285,832,331,5202,722,1704,17075
"12/10/2023 20:00",1309,1713,637,1102,1067,2224,809,318,5124,706,1685,16694
"12/10/2023 21:00",1234,1646,607,1055,1017,2114,766,299,4986,688,1647,16059
"12/10/2023 22:00",1149,1562,568,996,951,1960,713,271,4787,671,1579,15207
"12/10/2023 23:00",1086,1505,516,946,881,1794,668,245,4546,660,1506,14353
"12/11/2023 00:00",1086,1483,485,907,848,1670,669,239,4359,652,1425,13823
"12/11/2023 01:00",1068,1449,450,890,823,1589,659,231,4211,649,1392,13411
"12/11/2023 02:00",1061,1429,441,885,814,1545,656,229,4090,646,1382,13178
"12/11/2023 03:00",1068,1443,437,890,817,1529,661,230,4040,647,1387,13149
"12/11/2023 04:00",1094,1486,446,916,834,1566,683,237,4092,652,1415,13421
"12/11/2023 05:00",1148,1583,474,982,881,1676,733,252,4312,666,1488,14195
"12/11/2023 06:00",1252,1741,531,1086,962,1872,822,283,4745,696,1615,15605
"12/11/2023 07:00",1336,1846,607,1165,1028,2030,872,306,5143,722,1728,16783
"12/11/2023 08:00",1367,1868,622,1177,1058,2090,890,318,5434,731,1768,17323
"12/11/2023 09:00",1355,1874,633,1184,1055,2081,895,323,5627,732,1789,17548
"12/11/2023 10:00",1342,1861,641,1193,1027,2041,888,324,5710,733,1807,17567
"12/11/2023 11:00",1326,1873,635,1200,996,1997,883,318,5740,730,1820,17518
"12/11/2023 12:00",1314,1881,626,1189,956,1961,867,312,5731,730,1813,17380
"12/11/2023 13:00",1324,1897,631,1190,957,1984,867,309,5736,728,1820,17443
"12/11/2023 14:00",1348,1902,645,1202,1004,2065,884,314,5789,727,1814,17694
"12/11/2023 15:00",1386,1933,669,1227,1080,2219,904,329,5865,734,1810,18156
"12/11/2023 16:00",1480,2001,710,1284,1185,2435,958,356,6032,749,1869,19059
"12/11/2023 17:00",1549,2064,755,1318,1262,2627,999,385,6143,765,1936,19803
"12/11/2023 18:00",1545,2052,759,1306,1264,2659,997,396,6039,762,1924,19703
"12/11/2023 19:00",1515,2003,744,1274,1240,2612,984,389,5897,763,1895,19316
"12/11/2023 20:00",1469,1947,718,1235,1211,2538,964,379,5729,752,1850,18792
"12/11/2023 21:00",1393,1856,686,1172,1157,2407,925,363,5522,739,1782,18002
"12/11/2023 22:00",1298,1735,642,1091,1082,2220,866,332,5217,721,1688,16892
"12/11/2023 23:00",1215,1657,587,1021,1006,2034,806,302,4879,701,1579,15787
"12/12/2023 00:00",1168,1610,532,981,945,1882,747,276,4645,687,1525,14998
"12/12/2023 01:00",1141,1567,498,957,918,1797,726,265,4479,682,1483,14513
"12/12/2023 02:00",1133,1543,488,947,909,1751,717,265,4363,679,1466,14261
"12/12/2023 03:00",1137,1549,482,950,911,1739,718,267,4317,682,1463,14215
"12/12/2023 04:00",1164,1586,495,975,930,1784,741,274,4367,687,1487,14490
"12/12/2023 05:00",1228,1688,527,1041,984,1910,801,295,4598,702,1559,15333
