"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"10/18/2024 00:00",1082,1371,480,886,841,1625,706,247,4178,587,1533,13536
"10/18/2024 01:00",1054,1335,463,859,809,1554,687,236,3995,588,1502,13082
"10/18/2024 02:00",1040,1322,448,845,791,1510,675,231,3865,585,1486,12798
"10/18/2024 03:00",1044,1322,440,842,785,1493,677,227,3799,586,1483,12698
"10/18/2024 04:00",1069,1350,445,861,797,1527,694,227,3814,591,1498,12873
"10/18/2024 05:00",1135,1452,470,913,845,1629,745,248,4015,601,1554,13607
"10/18/2024 06:00",1256,1607,530,1005,939,1806,830,277,4479,625,1635,14989
"10/18/2024 07:00",1302,1680,578,1065,982,1895,860,292,4890,636,1709,15889
"10/18/2024 08:00",1202,1566,576,1009,916,1838,773,288,5120,620,1683,15591
"10/18/2024 09:00",1047,1390,564,908,790,1720,642,278,5225,599,1624,14787
"10/18/2024 10:00",959,1253,550,838,699,1616,560,270,5251,586,1586,14168
"10/18/2024 11:00",907,1191,540,803,641,1541,522,257,5269,581,1552,13804
"10/18/2024 12:00",870,1148,533,780,609,1501,496,249,5278,576,1524,13564
"10/18/2024 13:00",862,1120,533,771,613,1517,469,248,5287,570,1509,13499
"10/18/2024 14:00",866,1103,541,758,635,1569,462,248,5292,566,1499,13539
"10/18/2024 15:00",930,1137,554,775,697,1669,484,262,5341,572,1500,13921
"10/18/2024 16:00",1056,1270,577,834,812,1819,586,274,5412,590,1532,14762
"10/18/2024 17:00",1219,1462,600,946,955,1986,731,286,5450,604,1590,15829
"10/18/2024 18:00",1314,1598,622,1040,1048,2148,823,305,5392,618,1642,16550
"10/18/2024 19:00",1306,1595,615,1051,1055,2154,828,308,5301,620,1663,16496
"10/18/2024 20:00",1276,1560,591,1023,1029,2082,816,295,5119,617,1652,16060
"10/18/2024 21:00",1233,1518,565,987,992,1985,793,289,4931,606,1627,15526
"10/18/2024 22:00",1171,1436,534,936,940,1866,753,274,4692,596,1579,14777
"10/18/2024 23:00",1109,1369,498,883,877,1736,708,255,4433,589,1523,13980
"10/19/2024 00:00",1060,1313,465,837,816,1610,664,238,4151,583,1467,13204
