"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"10/14/2024 00:00",1045,1350,483,838,790,1677,661,218,4437,595,1484,13578
"10/14/2024 01:00",1019,1322,463,813,761,1597,642,207,4240,595,1465,13124
"10/14/2024 02:00",1003,1306,442,800,741,1547,633,202,4086,594,1452,12806
"10/14/2024 03:00",1001,1301,429,796,731,1515,632,199,3993,592,1447,12636
"10/14/2024 04:00",1015,1323,430,813,735,1525,650,199,3980,596,1463,12729
"10/14/2024 05:00",1056,1397,449,859,762,1576,689,205,4113,605,1512,13223
"10/14/2024 06:00",1109,1498,486,925,811,1656,741,220,4420,620,1567,14053
"10/14/2024 07:00",1183,1597,516,993,870,1754,799,233,4734,636,1645,14960
"10/14/2024 08:00",1230,1661,540,1040,914,1847,845,252,5011,647,1702,15689
"10/14/2024 09:00",1227,1642,557,1039,879,1875,834,264,5168,656,1737,15878
"10/14/2024 10:00",1200,1624,560,1022,820,1854,801,269,5260,658,1750,15818
"10/14/2024 11:00",1164,1580,559,1002,783,1824,796,262,5355,655,1745,15725
"10/14/2024 12:00",1135,1575,556,993,759,1796,770,256,5418,653,1739,15650
"10/14/2024 13:00",1136,1567,564,985,768,1773,773,258,5431,651,1726,15632
"10/14/2024 14:00",1153,1573,570,987,777,1813,760,263,5450,644,1718,15708
"10/14/2024 15:00",1196,1571,587,1007,798,1906,771,272,5487,650,1718,15963
"10/14/2024 16:00",1281,1630,602,1040,868,2035,803,279,5551,658,1714,16461
"10/14/2024 17:00",1385,1706,626,1096,974,2146,851,283,5559,666,1726,17018
"10/14/2024 18:00",1458,1798,651,1154,1079,2293,912,309,5533,671,1770,17628
"10/14/2024 19:00",1453,1802,648,1169,1107,2296,917,315,5464,677,1805,17653
"10/14/2024 20:00",1383,1724,619,1113,1066,2191,880,301,5290,665,1775,17007
"10/14/2024 21:00",1307,1632,589,1051,1005,2069,831,290,5108,651,1745,16278
"10/14/2024 22:00",1221,1528,555,982,934,1915,774,271,4828,640,1673,15321
"10/14/2024 23:00",1149,1456,516,927,865,1757,725,245,4503,629,1604,14376
"10/15/2024 00:00",1105,1406,487,885,814,1617,690,234,4188,626,1556,13608
"10/15/2024 01:00",1077,1378,468,859,788,1538,672,226,4004,625,1526,13161
"10/15/2024 02:00",1064,1353,450,844,771,1496,662,222,3878,623,1510,12873
"10/15/2024 03:00",1061,1353,440,838,765,1478,662,221,3815,622,1500,12755
"10/15/2024 04:00",1081,1377,448,857,775,1512,679,224,3838,628,1512,12931
"10/15/2024 05:00",1149,1471,475,909,823,1615,732,239,4043,638,1570,13664
"10/15/2024 06:00",1267,1631,535,1003,911,1790,818,266,4504,662,1663,15050
"10/15/2024 07:00",1314,1726,575,1072,948,1890,860,279,4917,676,1743,16000
"10/15/2024 08:00",1274,1728,580,1083,945,1884,855,285,5147,669,1758,16208
"10/15/2024 09:00",1202,1639,578,1048,874,1806,817,286,5243,664,1762,15919
"10/15/2024 10:00",1140,1570,571,1009,795,1721,773,285,5280,660,1754,15558
"10/15/2024 11:00",1111,1514,566,987,757,1683,753,276,5354,656,1733,15390
"10/15/2024 12:00",1086,1501,566,974,745,1687,732,270,5398,652,1726,15337
"10/15/2024 13:00",1093,1493,564,966,750,1719,737,267,5416,650,1727,15382
"10/15/2024 14:00",1114,1505,568,979,783,1751,737,271,5425,649,1726,15508
"10/15/2024 15:00",1171,1511,581,1009,823,1845,755,278,5468,653,1734,15828
"10/15/2024 16:00",1258,1583,592,1052,884,1966,791,284,5520,665,1735,16330
"10/15/2024 17:00",1369,1679,616,1107,980,2085,850,289,5531,674,1751,16931
"10/15/2024 18:00",1453,1789,648,1159,1090,2253,919,315,5494,685,1792,17597
"10/15/2024 19:00",1455,1798,646,1172,1108,2260,928,324,5425,686,1816,17618
"10/15/2024 20:00",1396,1727,619,1122,1074,2171,892,310,5255,676,1782,17024
"10/15/2024 21:00",1317,1640,588,1062,1014,2048,844,299,5061,660,1753,16286
"10/15/2024 22:00",1228,1538,550,993,942,1897,785,280,4787,642,1685,15327
"10/15/2024 23:00",1159,1460,512,935,873,1746,735,255,4477,634,1614,14400
"10/16/2024 00:00",1113,1408,487,889,822,1613,699,243,4151,631,1566,13622
"10/16/2024 01:00",1085,1382,471,865,796,1543,681,233,3973,631,1535,13195
"10/16/2024 02:00",1070,1358,455,850,782,1506,671,228,3852,630,1521,12923
"10/16/2024 03:00",1069,1356,446,845,776,1492,670,227,3795,628,1511,12815
"10/16/2024 04:00",1088,1379,452,864,785,1526,688,230,3818,632,1524,12986
"10/16/2024 05:00",1155,1469,480,917,831,1630,738,246,4028,642,1584,13720
"10/16/2024 06:00",1270,1618,539,1011,916,1800,825,271,4490,667,1670,15077
"10/16/2024 07:00",1338,1719,575,1083,963,1882,873,284,4894,682,1757,16050
"10/16/2024 08:00",1314,1736,582,1103,966,1848,873,294,5142,677,1780,16315
"10/16/2024 09:00",1251,1675,583,1081,899,1790,837,296,5255,672,1784,16123
"10/16/2024 10:00",1188,1620,576,1046,835,1734,797,299,5300,666,1784,15845
"10/16/2024 11:00",1154,1574,574,1026,804,1700,773,290,5364,661,1764,15684
"10/16/2024 12:00",1129,1562,572,1016,797,1703,750,286,5419,660,1759,15653
"10/16/2024 13:00",1119,1562,569,1009,807,1734,755,285,5444,658,1754,15696
"10/16/2024 14:00",1135,1569,574,1010,833,1768,749,287,5446,657,1746,15774
"10/16/2024 15:00",1191,1570,585,1028,870,1848,760,294,5479,661,1747,16033
"10/16/2024 16:00",1271,1631,596,1059,932,1954,795,301,5529,669,1750,16487
"10/16/2024 17:00",1385,1714,624,1106,1017,2078,859,304,5549,679,1757,17072
"10/16/2024 18:00",1464,1810,652,1156,1105,2250,924,327,5522,690,1790,17690
"10/16/2024 19:00",1462,1809,648,1169,1117,2257,930,335,5446,691,1808,17672
"10/16/2024 20:00",1403,1738,622,1126,1080,2176,895,321,5276,680,1783,17100
"10/16/2024 21:00",1328,1655,592,1067,1019,2059,849,308,5073,667,1758,16375
"10/16/2024 22:00",1238,1553,553,996,947,1908,789,289,4790,652,1691,15406
"10/16/2024 23:00",1170,1479,514,937,878,1754,738,264,4475,642,1618,14469
"10/17/2024 00:00",1121,1424,486,893,830,1618,699,248,4167,636,1567,13689
"10/17/2024 01:00",1093,1388,469,868,803,1548,682,240,3985,634,1539,13249
"10/17/2024 02:00",1079,1365,453,854,787,1510,673,235,3862,634,1525,12977
"10/17/2024 03:00",1081,1368,445,849,780,1493,673,232,3802,632,1518,12873
"10/17/2024 04:00",1104,1387,451,868,791,1526,691,235,3820,638,1535,13046
"10/17/2024 05:00",1174,1480,481,922,838,1628,744,252,4019,650,1595,13783
"10/17/2024 06:00",1295,1643,543,1019,927,1794,833,276,4484,674,1683,15171
