"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"04/16/2024 00:00",967,1299,454,852,783,1601,629,216,4216,596,1440,13053
"04/16/2024 01:00",943,1278,437,834,756,1522,621,209,4037,595,1417,12649
"04/16/2024 02:00",935,1268,424,824,741,1478,617,204,3919,593,1409,12412
"04/16/2024 03:00",939,1269,416,827,736,1459,619,204,3855,593,1413,12330
"04/16/2024 04:00",969,1314,422,846,750,1496,635,210,3871,604,1440,12557
"04/16/2024 05:00",1039,1418,452,900,800,1606,693,229,4066,624,1512,13339
"04/16/2024 06:00",1137,1568,503,978,853,1752,763,261,4476,654,1622,14567
"04/16/2024 07:00",1126,1545,537,958,845,1805,722,270,4881,666,1656,15011
"04/16/2024 08:00",1009,1377,536,858,761,1722,602,255,5124,651,1627,14522
"04/16/2024 09:00",892,1228,523,779,636,1610,500,237,5225,638,1570,13838
"04/16/2024 10:00",827,1174,508,742,556,1508,454,225,5222,622,1532,13370
"04/16/2024 11:00",814,1140,502,730,529,1444,418,213,5232,618,1510,13150
"04/16/2024 12:00",807,1120,499,729,529,1371,420,211,5252,616,1504,13058
"04/16/2024 13:00",814,1119,503,715,533,1413,407,214,5273,613,1496,13100
"04/16/2024 14:00",804,1107,502,707,553,1471,407,216,5264,610,1484,13125
"04/16/2024 15:00",815,1072,520,703,571,1536,409,218,5314,613,1469,13240
"04/16/2024 16:00",889,1133,541,727,669,1690,444,234,5402,622,1492,13843
"04/16/2024 17:00",1026,1282,562,803,815,1860,546,252,5432,644,1534,14756
"04/16/2024 18:00",1147,1460,574,914,932,2016,680,280,5316,656,1585,15560
"04/16/2024 19:00",1213,1573,584,985,986,2136,759,292,5293,663,1621,16105
"04/16/2024 20:00",1232,1600,587,1017,1019,2169,782,293,5211,670,1664,16244
"04/16/2024 21:00",1174,1525,562,983,975,2058,749,277,5012,652,1629,15596
"04/16/2024 22:00",1089,1427,523,923,900,1889,701,249,4719,634,1562,14616
"04/16/2024 23:00",1016,1348,482,876,832,1721,659,223,4414,621,1490,13682
"04/17/2024 00:00",959,1305,455,853,780,1597,634,217,4163,609,1436,13008
"04/17/2024 01:00",936,1284,439,837,758,1523,627,212,3987,607,1415,12625
"04/17/2024 02:00",928,1277,424,828,744,1483,622,208,3872,606,1405,12397
"04/17/2024 03:00",931,1272,415,831,741,1466,625,208,3814,609,1404,12316
"04/17/2024 04:00",962,1310,420,848,756,1501,643,212,3837,619,1430,12538
"04/17/2024 05:00",1033,1406,452,901,803,1611,701,231,4045,635,1506,13324
"04/17/2024 06:00",1138,1555,508,981,864,1767,772,264,4474,661,1607,14591
"04/17/2024 07:00",1154,1571,549,1003,880,1846,748,273,4910,671,1674,15279
"04/17/2024 08:00",1085,1493,557,978,834,1810,668,265,5171,659,1698,15218
"04/17/2024 09:00",1004,1420,554,959,759,1739,605,254,5298,644,1701,14937
"04/17/2024 10:00",949,1412,544,964,712,1679,579,248,5319,634,1708,14748
"04/17/2024 11:00",923,1406,543,973,711,1649,555,240,5322,628,1702,14652
"04/17/2024 12:00",894,1415,540,978,735,1600,560,238,5339,622,1694,14615
"04/17/2024 13:00",871,1423,541,971,751,1649,548,243,5374,618,1680,14669
"04/17/2024 14:00",873,1425,534,958,777,1692,554,244,5347,616,1661,14681
"04/17/2024 15:00",921,1409,546,950,774,1744,572,241,5372,611,1633,14773
"04/17/2024 16:00",1006,1441,562,952,835,1839,613,254,5440,616,1634,15192
"04/17/2024 17:00",1111,1505,580,977,916,1957,676,266,5449,637,1644,15718
"04/17/2024 18:00",1179,1556,587,999,967,2058,742,282,5349,645,1651,16015
"04/17/2024 19:00",1214,1585,590,1008,994,2143,778,290,5302,659,1645,16208
"04/17/2024 20:00",1219,1588,592,1019,1005,2160,785,291,5222,663,1669,16213
"04/17/2024 21:00",1158,1511,569,984,965,2055,750,276,5035,645,1626,15574
