"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/08/2024 00:00",1479,1701,868,1074,1270,2873,770,374,7543,621,1738,20311
"07/08/2024 01:00",1401,1636,817,1012,1181,2685,727,340,7248,611,1665,19323
"07/08/2024 02:00",1346,1578,776,972,1117,2548,694,323,7033,603,1617,18607
"07/08/2024 03:00",1314,1549,741,948,1079,2462,681,301,6902,601,1592,18170
"07/08/2024 04:00",1313,1549,728,953,1058,2439,686,300,6889,601,1592,18108
"07/08/2024 05:00",1332,1570,738,985,1068,2482,712,304,7065,608,1626,18490
"07/08/2024 06:00",1395,1648,778,1030,1098,2601,742,329,7451,622,1700,19394
"07/08/2024 07:00",1451,1726,836,1101,1153,2814,749,360,7974,637,1822,20623
"07/08/2024 08:00",1467,1801,878,1171,1191,3057,746,380,8387,647,1917,21642
"07/08/2024 09:00",1484,1849,928,1228,1216,3266,756,410,8714,656,1998,22505
"07/08/2024 10:00",1523,1893,965,1305,1283,3473,764,443,8981,660,2085,23375
"07/08/2024 11:00",1573,1975,1006,1390,1382,3712,775,472,9194,665,2157,24301
"07/08/2024 12:00",1614,2075,1038,1448,1442,3932,800,506,9315,673,2232,25075
"07/08/2024 13:00",1669,2167,1080,1520,1528,4108,839,529,9463,677,2295,25875
"07/08/2024 14:00",1744,2229,1114,1551,1625,4245,861,546,9751,681,2354,26701
"07/08/2024 15:00",1831,2305,1154,1572,1711,4342,900,563,10101,688,2384,27551
"07/08/2024 16:00",1928,2348,1186,1598,1800,4433,935,574,9879,691,2420,27792
"07/08/2024 17:00",2049,2431,1209,1637,1887,4488,986,585,9626,699,2436,28033
"07/08/2024 18:00",2114,2511,1197,1658,1960,4439,1033,581,9325,708,2448,27974
"07/08/2024 19:00",2131,2532,1168,1648,1964,4242,1098,565,9068,709,2403,27528
"07/08/2024 20:00",2102,2483,1126,1601,1903,4035,1130,543,8815,701,2342,26781
