"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"06/12/2024 00:00",1089,1298,547,865,858,1969,577,248,4987,584,1471,14493
"06/12/2024 01:00",1057,1257,518,842,814,1852,561,235,4767,578,1440,13921
"06/12/2024 02:00",1032,1237,496,825,786,1775,552,223,4627,573,1418,13544
"06/12/2024 03:00",1021,1221,480,818,771,1734,551,216,4536,572,1405,13325
"06/12/2024 04:00",1035,1244,477,830,772,1744,565,217,4522,577,1412,13395
"06/12/2024 05:00",1069,1295,493,854,788,1792,597,228,4689,586,1444,13835
"06/12/2024 06:00",1131,1376,545,890,834,1909,633,254,5140,604,1506,14822
"06/12/2024 07:00",1167,1402,593,913,858,2054,612,274,5637,615,1582,15707
"06/12/2024 08:00",1136,1379,615,906,833,2135,572,283,5992,610,1605,16066
"06/12/2024 09:00",1088,1358,626,900,801,2164,547,289,6217,608,1612,16210
"06/12/2024 10:00",1079,1351,640,901,803,2218,550,295,6337,609,1630,16413
"06/12/2024 11:00",1110,1370,659,899,830,2342,553,310,6448,608,1639,16768
"06/12/2024 12:00",1129,1372,675,900,869,2482,552,322,6575,610,1652,17138
"06/12/2024 13:00",1158,1384,693,915,931,2644,561,338,6699,612,1667,17602
"06/12/2024 14:00",1208,1383,714,912,996,2795,573,354,6792,619,1674,18020
"06/12/2024 15:00",1248,1400,737,916,1051,2947,595,371,6871,626,1691,18453
"06/12/2024 16:00",1326,1447,760,939,1117,3091,618,384,6962,639,1728,19011
"06/12/2024 17:00",1393,1534,778,995,1195,3174,647,397,6976,644,1776,19509
"06/12/2024 18:00",1452,1621,780,1067,1241,3140,688,399,6748,650,1817,19603
"06/12/2024 19:00",1463,1684,763,1116,1249,3007,733,385,6541,654,1816,19411
"06/12/2024 20:00",1449,1701,743,1123,1234,2904,768,372,6321,649,1788,19052
"06/12/2024 21:00",1409,1668,718,1104,1187,2780,756,358,6138,639,1771,18528
"06/12/2024 22:00",1305,1552,672,1029,1087,2550,690,331,5830,611,1685,17342
"06/12/2024 23:00",1206,1437,619,961,986,2294,622,292,5485,595,1587,16084
"06/13/2024 00:00",1143,1356,585,915,898,2095,575,256,5255,586,1526,15190
"06/13/2024 01:00",1094,1304,553,882,847,1962,555,242,5018,579,1483,14519
"06/13/2024 02:00",1062,1277,526,859,813,1870,545,227,4848,576,1454,14057
"06/13/2024 03:00",1045,1265,506,849,794,1817,540,218,4729,576,1441,13780
