"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"05/17/2024 00:00",1014,1303,485,859,792,1691,576,199,4293,573,1470,13255
"05/17/2024 01:00",985,1265,466,828,755,1599,557,192,4095,567,1423,12732
"05/17/2024 02:00",968,1233,449,810,731,1541,546,186,3963,561,1394,12382
"05/17/2024 03:00",969,1220,442,802,721,1512,543,184,3881,559,1379,12212
"05/17/2024 04:00",988,1244,442,814,726,1532,557,185,3889,562,1388,12327
"05/17/2024 05:00",1029,1303,457,849,753,1600,593,196,4052,576,1435,12843
"05/17/2024 06:00",1106,1405,498,903,805,1702,644,215,4443,600,1499,13820
"05/17/2024 07:00",1139,1440,544,927,821,1794,636,229,4905,615,1580,14630
"05/17/2024 08:00",1104,1408,561,919,798,1795,601,232,5230,617,1627,14892
"05/17/2024 09:00",1043,1380,568,911,758,1744,577,231,5414,616,1644,14886
"05/17/2024 10:00",1029,1367,572,905,729,1717,559,233,5498,612,1660,14881
"05/17/2024 11:00",1030,1394,576,925,725,1692,546,233,5554,611,1681,14967
"05/17/2024 12:00",1036,1398,575,940,747,1710,555,236,5585,613,1691,15086
"05/17/2024 13:00",1022,1405,577,943,768,1741,577,240,5617,614,1711,15215
"05/17/2024 14:00",1067,1393,581,957,778,1780,569,243,5623,617,1713,15321
"05/17/2024 15:00",1102,1403,596,972,832,1857,578,245,5670,622,1690,15567
"05/17/2024 16:00",1160,1443,614,984,885,1968,598,257,5720,625,1681,15935
"05/17/2024 17:00",1240,1531,632,1001,968,2107,640,268,5711,632,1687,16417
"05/17/2024 18:00",1275,1604,630,1010,1009,2199,697,274,5535,634,1693,16560
"05/17/2024 19:00",1290,1619,625,1021,1046,2224,723,275,5420,631,1683,16557
"05/17/2024 20:00",1280,1609,613,1023,1045,2226,735,269,5287,629,1671,16387
"05/17/2024 21:00",1248,1567,592,1004,1013,2143,715,259,5114,620,1659,15934
"05/17/2024 22:00",1182,1479,563,952,955,2011,669,241,4867,602,1587,15108
"05/17/2024 23:00",1116,1384,530,897,887,1855,616,217,4577,589,1501,14169
"05/18/2024 00:00",1042,1304,496,851,826,1712,570,197,4337,579,1424,13338
"05/18/2024 01:00",1001,1255,473,819,782,1615,545,187,4143,575,1379,12774
"05/18/2024 02:00",979,1231,451,797,751,1551,535,181,4005,571,1356,12408
"05/18/2024 03:00",963,1218,440,785,734,1513,526,175,3911,568,1342,12175
"05/18/2024 04:00",963,1222,437,785,731,1510,529,172,3866,565,1341,12121
"05/18/2024 05:00",978,1238,436,794,738,1527,538,174,3888,567,1341,12219
"05/18/2024 06:00",1007,1281,441,814,758,1571,562,181,4016,578,1351,12560
"05/18/2024 07:00",1036,1323,469,840,779,1632,581,199,4230,596,1398,13083
"05/18/2024 08:00",1046,1343,501,849,786,1686,584,218,4459,603,1435,13510
"05/18/2024 09:00",1024,1342,521,843,762,1730,577,229,4649,602,1452,13731
"05/18/2024 10:00",1006,1319,526,834,740,1756,554,235,4796,601,1468,13835
"05/18/2024 11:00",992,1314,525,801,745,1751,527,233,4889,601,1465,13843
"05/18/2024 12:00",955,1295,523,797,736,1770,497,232,4940,604,1462,13811
"05/18/2024 13:00",960,1294,523,777,756,1760,491,235,4939,601,1458,13794
"05/18/2024 14:00",971,1269,530,763,775,1753,462,232,4899,598,1467,13719
"05/18/2024 15:00",980,1246,537,772,815,1797,475,237,4877,598,1492,13826
"05/18/2024 16:00",1036,1282,551,817,883,1887,512,242,4907,607,1536,14260
"05/18/2024 17:00",1119,1371,570,860,957,1987,558,254,4960,618,1576,14830
"05/18/2024 18:00",1184,1449,588,921,998,2032,623,259,4979,627,1602,15262
"05/18/2024 19:00",1206,1499,583,987,1011,2070,665,254,4980,626,1620,15501
"05/18/2024 20:00",1208,1504,586,1004,1010,2085,682,253,4953,626,1621,15532
"05/18/2024 21:00",1179,1470,574,988,975,2016,670,244,4847,620,1603,15186
"05/18/2024 22:00",1120,1406,550,933,914,1892,626,226,4667,606,1531,14471
"05/18/2024 23:00",1056,1336,516,873,850,1765,582,206,4447,594,1461,13686
"05/19/2024 00:00",1031,1277,492,842,804,1670,555,196,4289,579,1419,13154
"05/19/2024 01:00",989,1235,468,808,758,1580,528,187,4079,573,1374,12579
"05/19/2024 02:00",965,1210,447,782,729,1513,516,179,3923,568,1343,12175
"05/19/2024 03:00",948,1194,435,767,713,1475,509,172,3821,564,1325,11923
"05/19/2024 04:00",947,1194,432,763,710,1469,512,168,3767,564,1314,11840
"05/19/2024 05:00",957,1204,426,760,709,1471,517,169,3772,565,1298,11848
"05/19/2024 06:00",962,1210,427,747,719,1479,512,176,3840,572,1287,11931
"05/19/2024 07:00",959,1192,446,727,723,1527,483,192,4020,580,1309,12158
"05/19/2024 08:00",940,1150,470,715,704,1593,441,208,4260,579,1331,12391
"05/19/2024 09:00",895,1119,486,714,661,1643,418,218,4480,581,1355,12570
"05/19/2024 10:00",863,1102,497,712,623,1678,396,222,4676,585,1387,12741
"05/19/2024 11:00",849,1108,498,717,625,1669,375,220,4797,589,1415,12862
"05/19/2024 12:00",820,1125,502,753,617,1700,358,222,4877,588,1442,13004
"05/19/2024 13:00",832,1164,509,760,643,1698,371,228,4905,589,1459,13158
"05/19/2024 14:00",865,1187,522,774,689,1708,370,227,4914,589,1487,13332
"05/19/2024 15:00",912,1206,535,795,757,1784,410,236,4948,593,1520,13696
"05/19/2024 16:00",1013,1282,556,852,856,1900,479,245,5009,604,1579,14375
"05/19/2024 17:00",1144,1427,582,912,966,2016,559,262,5064,621,1622,15175
"05/19/2024 18:00",1244,1556,597,978,1035,2075,655,268,5086,635,1651,15780
"05/19/2024 19:00",1302,1639,598,1049,1069,2123,726,270,5098,640,1670,16184
"05/19/2024 20:00",1313,1643,610,1073,1072,2183,746,272,5111,642,1664,16329
"05/19/2024 21:00",1263,1587,595,1046,1021,2101,714,258,4999,633,1640,15857
"05/19/2024 22:00",1174,1491,554,974,938,1923,651,232,4748,614,1559,14858
"05/19/2024 23:00",1094,1407,506,906,860,1739,597,204,4421,601,1489,13824
"05/20/2024 00:00",1030,1302,481,850,794,1602,545,193,4170,571,1412,12950
"05/20/2024 01:00",993,1261,463,818,755,1529,528,185,3996,561,1368,12457
"05/20/2024 02:00",970,1233,445,798,727,1489,517,179,3872,557,1344,12131
"05/20/2024 03:00",968,1225,436,791,716,1472,513,176,3799,558,1332,11986
"05/20/2024 04:00",986,1259,435,807,721,1505,527,178,3823,561,1348,12150
"05/20/2024 05:00",1034,1331,450,848,750,1586,565,191,4007,572,1399,12733
"05/20/2024 06:00",1111,1448,493,901,804,1705,611,212,4424,594,1487,13790
"05/20/2024 07:00",1139,1452,540,894,825,1805,572,232,4884,611,1561,14515
"05/20/2024 08:00",1088,1372,554,853,796,1809,511,233,5200,609,1588,14613
"05/20/2024 09:00",1008,1317,559,835,740,1766,469,232,5392,608,1586,14512
"05/20/2024 10:00",987,1309,561,835,695,1739,451,230,5489,607,1607,14510
"05/20/2024 11:00",1000,1346,563,866,676,1711,447,229,5560,609,1637,14644
"05/20/2024 12:00",1016,1375,564,898,690,1717,455,233,5614,612,1662,14836
"05/20/2024 13:00",1030,1393,571,913,717,1753,473,239,5667,613,1707,15076
"05/20/2024 14:00",1085,1413,577,932,745,1799,484,247,5685,613,1740,15320
"05/20/2024 15:00",1135,1422,601,939,840,1892,515,253,5761,617,1746,15721
"05/20/2024 16:00",1240,1465,622,949,933,2016,543,271,5829,624,1757,16249
"05/20/2024 17:00",1368,1582,644,988,1047,2145,606,287,5827,637,1778,16909
"05/20/2024 18:00",1439,1717,641,1047,1107,2207,697,299,5619,644,1802,17219
"05/20/2024 19:00",1471,1799,639,1115,1147,2246,770,300,5509,647,1815,17458
"05/20/2024 20:00",1467,1809,634,1139,1149,2276,798,295,5397,648,1811,17423
"05/20/2024 21:00",1403,1736,605,1107,1096,2178,762,280,5189,638,1790,16784
"05/20/2024 22:00",1293,1598,562,1027,1000,1996,695,247,4863,618,1690,15589
"05/20/2024 23:00",1192,1463,514,955,906,1807,636,212,4494,598,1581,14358
"05/21/2024 00:00",1106,1360,477,902,829,1646,584,194,4202,577,1486,13363
"05/21/2024 01:00",1050,1306,456,865,782,1560,560,185,4014,571,1428,12777
"05/21/2024 02:00",1019,1269,439,840,752,1511,545,179,3886,564,1395,12399
"05/21/2024 03:00",1009,1251,433,828,740,1487,538,174,3809,565,1377,12211
"05/21/2024 04:00",1024,1279,432,839,743,1516,549,176,3823,568,1386,12335
"05/21/2024 05:00",1067,1336,448,873,767,1589,582,190,3982,579,1430,12843
"05/21/2024 06:00",1135,1434,487,932,808,1694,621,213,4371,601,1514,13810
"05/21/2024 07:00",1161,1439,531,952,813,1784,579,230,4826,612,1596,14523
"05/21/2024 08:00",1112,1370,546,938,776,1792,518,232,5152,611,1634,14681
"05/21/2024 09:00",1044,1315,555,932,725,1765,478,230,5364,610,1641,14659
"05/21/2024 10:00",1027,1306,561,927,684,1748,459,226,5503,609,1658,14708
"05/21/2024 11:00",1047,1332,568,936,673,1766,454,227,5635,608,1682,14928
"05/21/2024 12:00",1060,1344,572,951,693,1820,455,232,5751,612,1702,15192
"05/21/2024 13:00",1070,1356,586,952,730,1889,466,242,5864,615,1739,15509
"05/21/2024 14:00",1111,1372,600,971,768,1962,464,255,5936,615,1763,15817
"05/21/2024 15:00",1149,1399,629,991,859,2062,492,263,6020,618,1764,16246
"05/21/2024 16:00",1244,1454,653,1010,942,2183,518,280,6070,627,1781,16762
"05/21/2024 17:00",1363,1564,667,1057,1043,2301,576,292,6012,640,1814,17329
"05/21/2024 18:00",1425,1674,658,1111,1101,2337,670,302,5734,643,1845,17500
"05/21/2024 19:00",1457,1737,652,1166,1136,2338,738,300,5599,645,1859,17627
"05/21/2024 20:00",1456,1743,646,1188,1139,2352,765,295,5479,644,1857,17564
"05/21/2024 21:00",1392,1676,619,1155,1084,2239,734,279,5293,633,1835,16939
"05/21/2024 22:00",1272,1546,574,1075,989,2050,670,245,5001,611,1734,15767
"05/21/2024 23:00",1168,1421,527,998,896,1854,612,211,4663,591,1629,14570
"05/22/2024 00:00",1088,1328,499,925,824,1714,567,196,4374,576,1522,13613
"05/22/2024 01:00",1037,1281,478,884,780,1626,546,188,4198,570,1462,13050
"05/22/2024 02:00",1008,1251,458,860,750,1570,535,181,4069,565,1426,12673
"05/22/2024 03:00",1001,1241,448,848,737,1542,530,175,3993,563,1412,12490
"05/22/2024 04:00",1020,1268,448,860,740,1566,543,175,4009,569,1419,12617
"05/22/2024 05:00",1067,1340,465,898,768,1637,582,189,4196,580,1464,13186
"05/22/2024 06:00",1150,1458,514,962,827,1749,646,216,4630,602,1557,14311
"05/22/2024 07:00",1188,1500,565,1004,849,1865,654,239,5127,615,1653,15259
"05/22/2024 08:00",1159,1475,588,1017,843,1915,626,246,5496,614,1711,15690
"05/22/2024 09:00",1111,1464,605,1023,824,1926,588,251,5748,613,1726,15879
"05/22/2024 10:00",1106,1468,618,1028,814,1943,577,257,5917,610,1745,16083
"05/22/2024 11:00",1146,1497,633,1048,836,2000,581,262,6059,613,1780,16455
"05/22/2024 12:00",1178,1520,647,1071,884,2078,593,272,6204,617,1793,16857
"05/22/2024 13:00",1210,1541,668,1084,946,2198,613,288,6341,622,1816,17327
"05/22/2024 14:00",1264,1544,684,1083,1003,2311,618,305,6408,622,1830,17672
"05/22/2024 15:00",1300,1572,710,1074,1076,2418,641,311,6473,619,1818,18012
