"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"05/13/2024 00:00",933,1238,473,801,751,1594,572,204,4058,572,1396,12592
"05/13/2024 01:00",913,1207,453,781,722,1531,561,198,3893,564,1378,12201
"05/13/2024 02:00",904,1190,440,772,706,1495,559,194,3782,562,1373,11977
"05/13/2024 03:00",908,1196,431,769,701,1484,561,194,3726,563,1368,11901
"05/13/2024 04:00",933,1232,438,787,716,1524,581,201,3768,567,1385,12132
"05/13/2024 05:00",999,1309,463,834,757,1625,632,217,3993,581,1439,12849
"05/13/2024 06:00",1084,1415,519,897,828,1755,708,249,4434,607,1530,14026
"05/13/2024 07:00",1091,1426,573,910,840,1838,698,265,4894,621,1597,14753
"05/13/2024 08:00",1028,1378,580,901,781,1794,651,256,5151,617,1630,14767
"05/13/2024 09:00",954,1351,569,922,705,1668,623,247,5269,614,1633,14555
"05/13/2024 10:00",956,1374,560,928,662,1595,615,244,5304,612,1631,14481
"05/13/2024 11:00",985,1400,564,914,677,1560,613,246,5356,612,1622,14549
"05/13/2024 12:00",994,1384,563,907,704,1578,631,246,5381,613,1627,14628
"05/13/2024 13:00",1004,1370,562,910,725,1604,638,247,5393,612,1635,14700
"05/13/2024 14:00",1043,1383,564,928,734,1638,620,243,5361,607,1644,14765
"05/13/2024 15:00",1046,1411,573,961,774,1738,616,248,5381,611,1661,15020
"05/13/2024 16:00",1083,1450,587,989,819,1873,640,255,5456,620,1682,15454
"05/13/2024 17:00",1143,1521,611,1036,896,2033,688,271,5535,632,1701,16067
"05/13/2024 18:00",1211,1572,620,1054,967,2142,722,284,5428,636,1720,16356
"05/13/2024 19:00",1239,1618,620,1082,1006,2198,754,289,5379,637,1721,16543
"05/13/2024 20:00",1226,1621,617,1098,1021,2243,772,290,5307,636,1730,16561
"05/13/2024 21:00",1181,1559,587,1066,979,2130,740,275,5110,625,1715,15967
"05/13/2024 22:00",1099,1452,541,990,900,1940,678,247,4794,603,1644,14888
"05/13/2024 23:00",1027,1359,497,921,820,1749,625,217,4425,584,1561,13785
"05/14/2024 00:00",987,1299,465,867,763,1621,583,198,4123,573,1472,12951
"05/14/2024 01:00",962,1256,444,837,732,1546,565,192,3942,569,1433,12478
"05/14/2024 02:00",947,1228,431,819,714,1498,557,188,3826,564,1415,12187
"05/14/2024 03:00",947,1226,426,810,704,1477,554,187,3764,564,1402,12061
"05/14/2024 04:00",964,1256,429,823,714,1508,567,192,3785,568,1409,12215
