"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/30/2023 00:05:00","CAPITL",61757,38.70,1.70,0.00
"11/30/2023 00:05:00","CENTRL",61754,36.59,-0.41,0.00
"11/30/2023 00:05:00","DUNWOD",61760,39.07,2.07,0.00
"11/30/2023 00:05:00","GENESE",61753,35.48,-1.52,0.00
"11/30/2023 00:05:00","H Q",61844,36.96,-0.04,0.00
"11/30/2023 00:05:00","HUD VL",61758,38.88,1.89,0.00
"11/30/2023 00:05:00","LONGIL",61762,108.25,3.11,-68.15
"11/30/2023 00:05:00","MHK VL",61756,37.81,0.81,0.00
"11/30/2023 00:05:00","MILLWD",61759,39.03,2.03,0.00
"11/30/2023 00:05:00","N.Y.C.",61761,39.14,2.14,0.00
"11/30/2023 00:05:00","NORTH",61755,37.03,0.04,0.00
"11/30/2023 00:05:00","NPX",61845,54.74,1.89,-15.86
"11/30/2023 00:05:00","O H",61846,34.07,-2.92,0.00
"11/30/2023 00:05:00","PJM",61847,36.96,-0.04,0.00
"11/30/2023 00:05:00","WEST",61752,35.18,-1.81,0.00
"11/30/2023 00:10:00","CAPITL",61757,34.51,1.52,0.00
"11/30/2023 00:10:00","CENTRL",61754,32.67,-0.33,0.00
"11/30/2023 00:10:00","DUNWOD",61760,34.88,1.88,0.00
"11/30/2023 00:10:00","GENESE",61753,31.71,-1.29,0.00
"11/30/2023 00:10:00","H Q",61844,32.93,-0.07,0.00
"11/30/2023 00:10:00","HUD VL",61758,34.71,1.71,0.00
"11/30/2023 00:10:00","LONGIL",61762,107.76,2.80,-71.96
"11/30/2023 00:10:00","MHK VL",61756,33.72,0.73,0.00
"11/30/2023 00:10:00","MILLWD",61759,34.84,1.85,0.00
"11/30/2023 00:10:00","N.Y.C.",61761,34.94,1.95,0.00
"11/30/2023 00:10:00","NORTH",61755,33.00,0.00,0.00
"11/30/2023 00:10:00","NPX",61845,50.54,1.68,-15.86
"11/30/2023 00:10:00","O H",61846,30.52,-2.48,0.00
"11/30/2023 00:10:00","PJM",61847,33.03,0.03,0.00
